Component,Number Affirmed on Appeal,Number Partially Affirmed & Partially Reserved/Remanded on Appeal,Number Completely Reserved/Remanded on Appeal,Number of Appeals Closed for Other Reasons,Total,
ADJ BDS,0,0,1,0,1,
ALJ,0,0,0,1,1,
ASP,0,0,0,0,0,
BLS,0,0,1,1,2,
CFO,0,0,0,0,0,
EBSA,0,0,1,3,4,
ETA,0,0,19,21,40,
EXEC SEC,0,0,0,0,0,
ILAB,0,0,0,0,0,
MSHA,0,0,4,4,8,
OASAM,0,1,4,2,7,
OCIA,0,0,0,0,0,
ODEP,0,0,0,0,0,
OFCCP,0,2,3,1,6,
OIG,0,0,1,1,2,
OLMS,0,6,1,2,9,
OPA,0,0,0,0,0,
OSEC,0,0,0,0,0,
OSHA,8,42,20,33,103,
OWCP,1,0,19,159,179,
VETS,1,1,1,6,9,
WB,0,0,0,0,0,
WHD,1,3,10,8,22,
Total,11,55,85,242,393,
