Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Appeal
DO,Date of Receipt,2011-09-01,2011-08-31,2011-07-27,2011-07-26,2011-07-20,2011-07-15,2011-06-21,2010-11-30,2010-03-11,2008-06-08
DO,Number of Days Pending,522,523,548,549,553,558,573,712,729,1332
FinCEN,Date of Receipt,,,,,,,,,,2013-09-17
FinCEN,Number of Days Pending,,,,,,,,,,10
FMS,Date of Receipt,,,,,,,,,,2013-09-30
FMS,Number of Days Pending,,,,,,,,,,1
IRS,Date of Receipt,2013-09-26,2013-09-26,2013-09-26,2013-09-26,2013-09-26,2013-09-26,2013-09-26,2013-09-25,2013-09-20,2013-09-20
IRS,Number of Days Pending,3,3,3,3,3,3,3,4,7,7
OCC,Date of Receipt,,,,,,,,2013-09-23,2013-08-23,2011-01-19
OCC,Number of Days Pending,,,,,,,,5,25,679
TIGTA,Date of Receipt,,,,,,,,,2013-09-30,2013-09-30
TIGTA,Number of Days Pending,,,,,,,,,1,1
