Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year,
FSA,55,240,234,61,
IES,2,51,46,7,
IES-NAGB,0,1,1,0,
M,50,187,182,55,
OCFO,3,1,4,0,
OCFO-CAM,10,44,48,6,
OCIO,0,8,7,1,
OCO,1,1,2,0,
OCR,7,93,89,11,
OCR-1 Boston,19,115,131,3,
OCR-2 New York,41,149,139,51,
OCR-3 Philadelphia,2,94,90,6,
OCR-4 Atlanta,17,59,58,18,
OCR-5 Chicago,5,153,152,6,
OCR-6 Dallas,8,106,107,7,
OCR-7 Kansas City,9,29,26,12,
OCR-8 Denver,2,34,35,1,
OCR-9 San Francisco,3,89,91,1,
OCR-10 Seattle,4,86,88,2,
OCR-12 Cleveland,4,31,31,4,
OCR-Metro D.C.,15,90,93,12,
ODS,0,10,8,2,
OELA,0,0,0,0,
OESE,13,91,102,2,
OGC,1,3,3,1,
OIG,5,71,73,3,
OII,4,26,29,1,
OLCA,1,6,6,1,
OM,7,59,61,5,
OM-PIRMS,25,296,294,27,
OPE,15,85,89,11,
OPEPD,1,5,5,1,
OS,18,17,11,24,
OSDFS,0,0,0,0,
OSERS,1,82,83,0,
OUS,1,1,1,1,
OVAE,0,2,2,0,
Total,349,2415,2421,343,
