Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
15 U.S.C. § 18a(h),Information submitted in connection with the premerger notification provisions of the Hart-Scott-Rodino Antitrust Improvements Act of 1976,"Lieberman v. FTC, 771 F.2d 32 (2d Cir. 1985)",4,Antitrust,4
42 U.S.C. § 3789g,Data received by the Bureau of Justice Statistics and used only for statistical or research purposes,None,9,OJP,9
"Pub. L. No. 111-8, 123 Stat. 524",Information required to be maintained by Federal Firearms Licensees and information maintained in the ATF Firearms Tracing Systems,"City of Chicago v. U.S. Dep't of the Treasury, 423 F.3d 777 (7th Cir. 2005)",135,ATF,136
"Pub. L. No. 111-8, 123 Stat. 524",Information required to be maintained by Federal Firearms Licensees and information maintained in the ATF Firearms Tracing Systems,"City of Chicago v. U.S. Dep't of the Treasury, 423 F.3d 777 (7th Cir. 2005)",1,DEA,136
10 U.S.C. § 130c,"Certain ""sensitive information of foreign governments"" and certain international organizations","Nat'l Inst. of Military Justice v. DOD, 404 F. Supp. 2d 325, 335-37 (D.D.C. 2005), aff'd on other grounds, 512 F.3d 677 (D.C. Cir. 2008); ACLU v. DOD, 389 F. Supp. 2d 547, 554 (S.D.N.Y. 2005); Gerstein v. DOD, No. 03-5193, slip op. at 8 (N.D. Ca. Dec. 21, 2004).",1,FBI,2
10 U.S.C. § 130c,"Certain ""sensitive information of foreign governments"" and certain international organizations","Nat'l Inst. of Military Justice v. DOD, 404 F. Supp. 2d 325, 335-37 (D.D.C. 2005), aff'd on other grounds, 512 F.3d 677 (D.C. Cir. 2008); ACLU v. DOD, 389 F. Supp. 2d 547, 554 (S.D.N.Y. 2005); Gerstein v. DOD, No. 03-5193, slip op. at 8 (N.D. Ca. Dec. 21, 2004).",1,OLC,2
50 U.S.C. § 402 note,Information pertaining to the functions or organization of NSA; certain information pertaining to NSA employees,"Houghton v. NSA, No. 09-4440, 2010 WL 1784058, at *3 (3d Cir. May 5, 2010) (per curiam); Larson v. Dep't of State, 565 F.3d 857, 868-69 (D.C. Cir. 2009); Founding Church of Scientology v. NSA, 610 F.2d 824, 827-28 (D.C. Cir. 1979); Roman v. NSA, No. 07-CV-4502, 2009 WL 303686, at *5-6 (E.D.N.Y. Feb. 9, 2009), summary affirmance granted, 354 F. App'x. 591 (2d Cir. 2009)",4,FBI,5
50 U.S.C. § 402 note,Information pertaining to the functions or organization of NSA; certain information pertaining to NSA employees,"Houghton v. NSA, No. 09-4440, 2010 WL 1784058, at *3 (3d Cir. May 5, 2010) (per curiam); Larson v. Dep't of State, 565 F.3d 857, 868-69 (D.C. Cir. 2009); Founding Church of Scientology v. NSA, 610 F.2d 824, 827-28 (D.C. Cir. 1979); Roman v. NSA, No. 07-CV-4502, 2009 WL 303686, at *5-6 (E.D.N.Y. Feb. 9, 2009), summary affirmance granted, 354 F. App'x. 591 (2d Cir. 2009)",1,OLC,5
41 U.S.C. § 4702(b),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",1,EOUSA,1
10 U.S.C. § 2305(g),Certain contractor proposals,"Roman v. NSA, Nos. 09-2947, 09-4281, 09-3344, 09-2504, 09-5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb. 22, 2012); Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011).",1,DEA,2
