Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
FAA,6,13,35,134,333,888,46,1,33,2,13,1,0,0,
FHWA,0,0,4,17,26,7,0,0,1,0,0,0,0,0,
FMCSA,0,0,199,29,0,943,7,0,585,109,3,0,0,0,
FRA,0,0,0,8,6,55,2,0,47,0,0,0,0,0,
FTA,0,0,1,6,22,59,0,0,0,0,0,0,0,0,
MARAD,0,1,0,11,8,15,0,0,0,0,0,0,0,0,
NHTSA,0,0,3,12,12,27,1,0,0,0,0,0,0,0,
OIG,0,0,5,3,18,36,9,0,39,2,1,0,0,0,
OST,0,0,0,12,16,70,0,0,9,1,1,0,0,0,
PHMSA,0,0,0,2,4,4,4,0,0,0,0,9,0,0,
RITA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
SLSDC,0,0,0,0,0,4,0,0,0,0,0,0,0,0,
Total,6,14,248,234,445,2109,69,1,714,114,18,10,0,0,
