Component,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Request in Litigation,Appeal Based Solely on Denial for Expedited Processing,Other,
AF,32,2,8,0,1,9,2,11,0,0,38,
ARMY,23,4,2,0,0,1,4,0,1,2,0,
DCMA,0,0,1,0,0,0,0,0,0,0,0,
DFAS,0,0,0,0,0,1,1,0,0,0,0,
DIA,12,0,1,0,0,0,0,2,0,0,3,
DLA,0,0,1,0,0,0,0,0,0,0,0,
DoD IG,0,0,4,0,0,0,0,0,0,9,3,
DSS,0,0,1,0,0,0,0,0,0,0,0,
DTRA,0,0,0,0,0,0,0,0,0,0,2,
NAVY,0,0,3,0,0,8,0,0,0,0,144,
NRO,1,0,1,0,0,0,0,0,0,0,0,
NSA,0,0,0,0,0,1,0,1,1,0,13,
OSD/JS,19,4,32,8,0,5,2,3,0,6,25,
Total,87,10,54,8,1,25,9,17,2,17,228,
