Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
AF,1557,2058,162,714,40,341,121,96,84,78,306,726,6283
AFRICOM,5,25,4,10,0,4,0,0,2,0,0,3,53
ARMY,15853,6067,774,2497,4047,739,372,179,766,287,517,1217,33315
ASBCA,2,0,0,0,0,1,0,0,0,0,0,0,3
CENTCOM,7,125,21,40,86,22,0,1,1,6,4,8,321
DCAA,28,36,6,14,17,0,1,0,0,5,0,0,107
DCMA,25,63,0,15,3,17,6,2,21,12,6,51,221
DeCA,126,28,2,12,4,6,3,1,2,0,0,0,184
DFAS,149,31,9,16,7,10,1,6,15,12,1,4,261
DIA,34,457,101,932,35,27,0,3,2,3,11,62,1667
DISA,152,27,7,18,12,5,14,5,1,1,2,5,249
DLA,3799,1062,7,86,38,126,27,16,26,12,27,125,5351
DoD IG,21,161,117,43,3,31,0,8,12,54,15,31,496
DoDEA,12,28,3,1,1,2,1,0,0,5,0,0,53
DSS,15,19,1,46,7,2,0,3,2,0,0,0,95
DTIC,65,1,4,25,62,6,0,3,0,0,1,0,167
DTRA,20,59,2,18,4,8,9,0,4,4,4,5,137
EUCOM,5,47,6,19,34,5,0,4,0,0,0,4,124
JPRA,0,1,1,4,0,1,0,0,0,0,0,1,8
NAVY,2059,4200,531,1111,1837,534,163,116,195,383,310,668,12107
NGA,14,30,11,18,1,14,1,1,1,1,4,22,118
NGB,3,12,4,9,16,7,11,6,4,0,2,5,79
NORTHCOM,11,29,8,20,8,6,7,7,1,14,17,0,128
NRO,17,64,11,43,4,4,8,16,19,0,0,0,186
NSA,82,292,3325,134,4,30,27,11,22,7,82,44,4060
OSD/JS,220,294,44,125,52,95,32,154,9,16,20,286,1347
PACOM,5,22,10,12,6,1,0,0,1,0,0,3,60
SOCOM,5,19,3,26,19,11,4,0,4,2,1,18,112
SOUTHCOM,20,86,0,36,0,4,0,0,5,9,0,12,172
STRATCOM,7,4,2,3,3,0,0,0,1,0,0,5,25
TRANSCOM,18,21,2,5,3,4,0,0,0,0,0,8,61
TRICARE,32,28,5,11,12,17,6,4,6,6,1,1,129
Total,24368,15396,5183,6063,6365,2080,814,642,1206,917,1331,3314,67679
