Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
"7 U.S.C. § 136i-1 (Federal Insecticide, Fungicide, and Rodenticide Act)","Data ""that would directly or indirectly reveal the identity of individual producers [of certain pesticides]""","Doe v. Veneman, 380 F. 3d 807, 818 (5th Cir. 2004).",16,HQ,16
"7 U.S.C. § 136i-1 (Federal Insecticide, Fungicide, and Rodenticide Act)","Data ""that would directly or indirectly reveal the identity of individual producers [of certain pesticides]""","Doe v. Veneman, 380 F. 3d 807, 818 (5th Cir. 2004).",0,Region 1,16
"7 U.S.C. § 136i-1 (Federal Insecticide, Fungicide, and Rodenticide Act)","Data ""that would directly or indirectly reveal the identity of individual producers [of certain pesticides]""","Doe v. Veneman, 380 F. 3d 807, 818 (5th Cir. 2004).",0,Region 2,16
"7 U.S.C. § 136i-1 (Federal Insecticide, Fungicide, and Rodenticide Act)","Data ""that would directly or indirectly reveal the identity of individual producers [of certain pesticides]""","Doe v. Veneman, 380 F. 3d 807, 818 (5th Cir. 2004).",0,Region 3,16
"7 U.S.C. § 136i-1 (Federal Insecticide, Fungicide, and Rodenticide Act)","Data ""that would directly or indirectly reveal the identity of individual producers [of certain pesticides]""","Doe v. Veneman, 380 F. 3d 807, 818 (5th Cir. 2004).",0,Region 4,16
"7 U.S.C. § 136i-1 (Federal Insecticide, Fungicide, and Rodenticide Act)","Data ""that would directly or indirectly reveal the identity of individual producers [of certain pesticides]""","Doe v. Veneman, 380 F. 3d 807, 818 (5th Cir. 2004).",0,Region 5,16
"7 U.S.C. § 136i-1 (Federal Insecticide, Fungicide, and Rodenticide Act)","Data ""that would directly or indirectly reveal the identity of individual producers [of certain pesticides]""","Doe v. Veneman, 380 F. 3d 807, 818 (5th Cir. 2004).",0,Region 6,16
"7 U.S.C. § 136i-1 (Federal Insecticide, Fungicide, and Rodenticide Act)","Data ""that would directly or indirectly reveal the identity of individual producers [of certain pesticides]""","Doe v. Veneman, 380 F. 3d 807, 818 (5th Cir. 2004).",0,Region 7,16
"7 U.S.C. § 136i-1 (Federal Insecticide, Fungicide, and Rodenticide Act)","Data ""that would directly or indirectly reveal the identity of individual producers [of certain pesticides]""","Doe v. Veneman, 380 F. 3d 807, 818 (5th Cir. 2004).",0,Region 8,16
"7 U.S.C. § 136i-1 (Federal Insecticide, Fungicide, and Rodenticide Act)","Data ""that would directly or indirectly reveal the identity of individual producers [of certain pesticides]""","Doe v. Veneman, 380 F. 3d 807, 818 (5th Cir. 2004).",0,Region 9,16
"7 U.S.C. § 136i-1 (Federal Insecticide, Fungicide, and Rodenticide Act)","Data ""that would directly or indirectly reveal the identity of individual producers [of certain pesticides]""","Doe v. Veneman, 380 F. 3d 807, 818 (5th Cir. 2004).",0,Region 10,16
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319",Certain records pertaining to grand jury proceedings,"Sussman v. USMS. 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen. No. 06-843, 2008 WL 62744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Con",2,HQ,2
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319",Certain records pertaining to grand jury proceedings,"Sussman v. USMS. 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen. No. 06-843, 2008 WL 62744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Con",0,Region 1,2
