Component,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS PROCESSED,NUMBER OF APPEALS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
AMS,5,14,8,11,
APHIS,36,25,23,19,
ASCR,1,0,1,0,
FAS,0,1,0,1,
FNCS,31,34,24,42,
FS,66,79,57,67,
FSA,18,26,22,25,
FSIS,3,9,7,6,
GIPSA,3,1,3,2,
NAD,0,0,0,0,
NRCS,11,7,13,2,
OBPA,0,0,0,0,
OCFO,4,0,2,1,
OGC,0,2,1,1,
OIG,11,11,12,15,
OSEC/OCIO/DM,6,4,4,1,
RD,11,5,1,0,
REE,2,2,1,3,
RMA,3,9,1,0,
Total,211,229,180,196,
