Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,
Office of the AG,0,0,N/A,N/A,
Office of the DAG,0,0,N/A,N/A,
Office of the Assoc. AG,0,0,N/A,N/A,
Antitrust,0,9,1,1,
ATF,0,2,1,1,
BOP,2,27,1,1,
Civil,4,1,1,1.6,
Civil Rights,0,0,N/A,N/A,
COPS,0,0,N/A,N/A,
Criminal,0,2,1,1,
CRS,0,0,N/A,N/A,
DEA,8,57,15,24.52,
ENRD,1,0,36,36,
EOIR,2,1,10,9,
EOUSA,0,15,1,1,
EOUST,0,4,2,8.25,
FBI,45,299,4,22.98,
FCSC,0,0,N/A,N/A,
JMD,0,0,N/A,N/A,
NSD,5,0,10,7.6,
OCDETF,0,0,N/A,N/A,
OIG,0,0,N/A,N/A,
OIP,0,0,N/A,N/A,
OJP,0,0,N/A,N/A,
OLA,0,0,N/A,N/A,
OLC,0,0,N/A,N/A,
OLP,0,0,N/A,N/A,
OPR,0,0,N/A,N/A,
OSG,0,0,N/A,N/A,
OVW,0,0,N/A,N/A,
Pardon Attorney,0,1,14,14,
Public Affairs,0,0,N/A,N/A,
PRAO,0,0,N/A,N/A,
TAX,0,0,N/A,N/A,
USMS,0,3,1,1,
USNCB,0,26,1,1.19,
USPC,0,0,N/A,N/A,
Total,67,447,N/A,N/A,
