Component,Description,No. of Times Used,Total
CBP,United States Customs and Border Protection,1,4
CBP,United States Customs and Border Protection,1,4
CBP,United States Customs and Border Protection,2,4
FEMA,Federal Emergency Management Agency,0,0
FLETC,Federal Law Enforcement Training Center,0,0
ICE,Immigration and Customs Enforcement,16,16
OGC,Office of the General Counsel,7,84
OGC,Office of the General Counsel,36,84
OGC,Office of the General Counsel,39,84
OGC,Office of the General Counsel,2,84
OIG,Office of the Inspector General,2,2
TSA,Transportation Security Administration,0,0
USCG,United States Coast Guard,2,2
USCIS,United States Citizenship and Immigration Services,0,0
USSS,United States Secret Service,1,6
USSS,United States Secret Service,2,6
USSS,United States Secret Service,2,6
USSS,United States Secret Service,1,6
Total,0,114,392
