Agency,Component,Year,1-20,21-40,41-60,61-80,81-100,101-120,121-140,141-160,161-180,181-200,201-300,301-400,400+,
USTDA,USTDA,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
BBG,BBG,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
FMC,FMC,2012,2,0,0,0,0,0,0,0,0,0,0,0,0
US ADF,US ADF,2012,3,0,0,0,0,0,0,0,0,0,0,0,0
FOMC,FOMC,2012,3,0,0,0,0,0,0,0,0,0,0,0,0
FCSIC,FCSIC,2012,5,0,0,0,0,0,0,0,0,0,0,0,0
CPPBSD,CPPBSD,2012,5,0,0,0,0,0,0,0,0,0,0,0,0
USIBWC,USIBWC,2012,7,0,0,0,0,0,0,0,0,0,0,0,0
USCCR,USCCR,2012,7,0,0,0,0,0,0,0,0,0,0,0,0
AFRH,AFRH,2012,7,0,0,0,0,1,0,2,0,0,1,0,1
FRTIB,FRTIB,2012,7,1,4,0,0,0,0,0,0,0,0,0,0
SIGAR,SIGAR,2012,7,2,0,0,0,0,0,0,0,1,0,1,0
CEQ,CEQ,2012,8,10,2,1,0,0,0,0,0,0,0,0,0
SIGIR,SIGIR,2012,9,0,0,0,0,0,0,0,0,0,0,0,0
ABMC,ABMC,2012,9,0,0,0,0,0,0,0,0,0,0,0,0
IAF,IAF,2012,9,0,1,0,0,0,0,0,0,0,0,0,0
FERC,FERC,2012,10,20,0,0,0,0,0,0,0,0,0,0,0
DNFSB,DNFSB,2012,11,1,0,0,0,0,0,0,0,0,0,0,0
CNCS,CNCS,2012,12,11,2,0,3,1,0,0,0,0,0,0,0
NCPC,NCPC,2012,13,0,0,0,0,0,0,0,0,0,0,0,0
Ex-Im Bank,Ex-Im Bank,2012,14,4,1,2,3,0,2,0,0,0,2,0,0
RATB,RATB,2012,15,0,0,0,0,0,0,0,0,0,0,0,0
NMB,NMB,2012,15,4,0,3,0,1,1,0,0,0,0,0,0
ACUS,ACUS,2012,15,0,0,0,0,0,0,0,0,0,0,0,0
NIGC,NIGC,2012,16,6,4,1,4,2,4,1,0,0,1,0,0
NTSB,NTSB,2012,17,11,2,0,0,0,0,0,0,0,0,0,0
USAID,USAID,2012,18,5,3,5,2,1,0,1,3,2,4,6,7
CSB,CSB,2012,18,1,1,0,0,0,0,0,0,0,0,0,0
ONDCP,ONDCP,2012,19,14,1,0,0,0,0,0,0,0,0,0,0
SSS,SSS,2012,20,0,0,0,0,0,0,0,0,0,0,0,0
FFIEC,FFIEC,2012,21,0,0,0,0,0,0,0,0,0,0,0,0
USTR,USTR,2012,21,12,1,1,1,0,0,0,0,0,0,0,0
NEH,NEH,2012,21,1,0,0,0,0,0,0,0,0,0,0,0
PRC,PRC,2012,22,0,0,0,0,0,0,0,0,0,0,0,0
FMCS,FMCS,2012,24,1,0,0,0,0,0,0,0,0,0,0,0
FEC,FEC,2012,27,4,5,4,4,1,1,0,1,0,2,1,0
MCC,MCC,2012,28,1,0,0,0,0,0,0,0,0,0,0,0
FCA,FCA,2012,28,0,0,0,0,0,0,0,0,0,0,0,0
CIGIE,CIGIE,2012,28,6,0,0,0,0,0,0,0,0,0,0,0
STB,STB,2012,29,0,0,0,0,0,0,0,0,0,0,0,0
CO,CO,2012,29,6,0,1,0,1,0,1,0,0,0,0,0
USITC,USITC,2012,30,4,0,0,0,0,0,0,0,0,0,0,0
OPIC,OPIC,2012,30,5,0,3,0,1,1,0,0,0,0,0,0
IMLS,IMLS,2012,32,0,0,0,0,0,0,0,0,0,0,0,0
LSC,LSC,2012,33,2,0,0,0,0,0,0,0,0,0,0,0
OSC,OSC,2012,33,5,4,0,2,1,0,0,1,1,1,0,0
State,State,2012,40,145,1523,2940,424,176,164,112,44,30,118,60,102
OGE,OGE,2012,43,5,1,0,0,0,0,0,0,0,0,0,0
OMB,OMB,2012,49,53,23,21,19,8,7,10,2,0,14,0,1
NRPC,NRPC,2012,49,1,2,0,0,0,0,0,0,0,0,0,0
OSTP,OSTP,2012,52,16,1,0,0,0,0,0,0,0,0,0,0
FLRA,FLRA,2012,58,3,0,0,0,0,0,0,0,0,0,0,0
