Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days
FSA,4,138.5,141,57,44,51,0,,
IES,0,0,0,7,12,9,0,,
M,1,287,287,54,82,126,0,,
OCFO-CAM,0,,,6,6,6,0,,
OCIO,0,,,1,40,40,0,,
OCO,0,,,0,,,0,,
OCR,0,,,10,61.5,122,1,437,437
OCR-1 Boston,3,11,8,0,,,0,,
OCR-2 New York,30,18,67,21,47,87,0,,
OCR-3 Philadelphia,4,12,9,2,240,240,0,,
OCR-4 Atlanta,12,38,48,6,59.5,63,0,,
OCR-5 Chicago,5,8,13,1,9,9,0,,
OCR-6 Dallas,3,8,7,4,14,13,0,,
OCR-7 Kansas City,4,29,56,8,71.5,97,0,,
OCR-8 Denver,0,,,1,21,21,0,,
OCR-9 San Francisco,0,,,1,8,8,0,,
OCR-10 Seattle,0,,,2,2.5,2,0,,
OCR-12 Cleveland,0,,,4,29.5,27,0,,
OCR-Metro D.C.,6,56.5,74,6,11,73,0,,
ODS,0,,,2,93.5,93,0,,
OESE,0,,,2,7.5,7,0,,
OGC,0,,,1,25,25,0,,
OIG,0,,,3,33,24,0,,
OII,0,,,1,7,7,0,,
OLCA,0,,,1,69,69,0,,
OM,0,,,5,21,12,0,,
OM-PIRMS,5,149,181,22,28.5,129,0,,
OPE,0,,,11,17,32,0,,
OPEPD,0,,,1,185,185,0,,
OS,0,,,24,82,171,0,,
OUS,0,,,1,59,59,0,,
Total,77,21,67,265,47,88,1,437,437
