Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days
HQ,20,19,77,87,53,115,0,0,0
OIG,5,25,22,9,214,188,0,0,0
R01,1,24,24,0,0,0,0,0,0
R02,1,29,29,0,0,0,0,0,0
R03,0,0,0,1,60,60,0,0,0
R04,0,0,0,0,0,0,0,0,0
R05,0,0,0,0,0,0,0,0,0
R06,0,0,0,0,0,0,0,0,0
R07,1,29,29,1,52,52,0,0,0
R08,0,0,0,0,0,0,0,0,0
R09,0,0,0,2,281,281,0,0,0
R0X,0,0,0,0,0,0,0,0,0
Total,28,0,62,100,0,124,0,0,0
