Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days
BIA,1,1,1,100,14,65,0,,
BLM,1,15,15,129,25,89,0,,
BOEM,0,,,18,29,111,0,,
BOR,0,,,11,25,27,0,,
BSEE,0,,,26,29,65,0,,
FWS,1,6,6,248,57,118,0,,
NPS,3,24,34,153,47,122,1,149,149
OIG,0,,,22,83,172,0,,
OS,0,,,61,142,189,3,239,239
OSM,0,,,15,113,133,0,,
SOL,0,,,46,225,321,0,,
USGS,0,,,33,48,101,0,,
Total,6,11,21,862,48,122,4,239,216
