Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days
BIS,4,15,12.75,8,54.5,112.25,0,,
Census,17,8,8.59,11,12,21.82,0,,
EDA,2,13.5,13.5,5,42,57.8,0,,
ESA,0,,,0,,,0,,
ITA,0,,,136,264,375,1,852,852
MBDA,0,,,0,,,0,,
NIST,13,15,13.31,28,403,480.43,0,,
NOAA,106,139,147.89,27,34,47.42,0,,
NTIA,1,10,10,17,176,223,1,120,120
NTIS,5,26,90.6,0,,,0,,
OIG,5,2,1.6,7,8,21.43,0,,
OS,71,126,164.77,26,87.5,138.27,2,271.5,271.5
PTO,21,8,11.05,2,13.5,13.5,0,,
Total,245,32,116,267,176,292,4,273,379
