Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days
FSA,28,31,30,14,26,31,0,0,0
IES,0,0,0,2,5,5,0,0,0
IES-NAGB,0,0,0,0,0,0,0,0,0
M,5,22,22,40,47,100,0,0,0
OCFO,2,43,43,0,0,0,0,0,0
OCFO-CAM,4,39,67,3,49,77,0,0,0
OCIO,1,25,25,0,0,0,0,0,0
OCO,1,119,119,0,0,0,0,0,0
OCR,3,17,16,4,14,108,0,0,0
OCR-1 Boston,24,61,63,0,0,0,0,0,0
OCR-2 New York,33,40,59,8,89,99,0,0,0
OCR-3 Philadelphia,0,0,0,1,236,236,0,0,0
OCR-4 Atlanta,15,33,45,2,162,162,0,0,0
OCR-5 Chicago,5,8,10,0,0,0,0,0,0
OCR-6 Dallas,3,19,22,5,9,11,0,0,0
OCR-7 Kansas City,4,107,98,5,108,123,0,0,0
OCR-8 Denver,1,7,7,1,10,10,0,0,0
OCR-9 San Francisco,2,10,10,1,7,7,0,0,0
OCR-10 Seattle,0,0,0,5,6,6,0,0,0
OCR-12 Cleveland,3,80,63,1,30,30,0,0,0
OCR-Metro D.C.,8,30,30,7,126,125,0,0,0
ODS,0,0,0,0,0,0,0,0,0
OELA,0,0,0,0,0,0,0,0,0
OESE,3,72,56,6,78,105,0,0,0
OGC,1,7,7,0,0,0,0,0,0
OIG,4,45,47,3,119,179,0,0,0
OII,0,0,0,1,83,83,0,0,0
OLCA,1,35,35,0,0,0,0,0,0
OM,4,11,15,4,29,29,0,0,0
OM-PIRMS,17,58,64,21,85,107,2,197,197
OPE,9,22,32,13,66,72,0,0,0
OPEPD,2,17,17,2,26,26,0,0,0
OS,4,83,222,19,395,319,0,0,0
OSDFS,0,0,0,0,0,0,0,0,0
OSERS,1,180,180,1,4,4,0,0,0
OUS,0,0,0,0,0,0,0,0,0
OVAE,0,0,0,0,0,0,0,0,0
Total,188,33,37,169,48,56,2,197,197
