Year,Agency,Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year
2010,DOE,SWPA,0,0,0,0
2010,DOE,WAPA,0,0,0,0
2010,DOI,BIA,0,0,0,0
2010,DOI,BLM,0,0,0,0
2010,DOI,BOEMRE,0,0,0,0
2010,DOI,BOR,0,0,0,0
2010,DOI,FWS,0,0,0,0
2010,DOI,NPS,0,0,0,0
2010,DOI,OIG,0,0,0,0
2010,DOI,OS,1,2,1,2
2010,DOI,OSM,0,0,0,0
2010,DOI,SOL,0,0,0,0
2010,DOI,USGS,0,0,0,0
2010,DOJ,Office of the AG,6,4,7,3
2010,DOJ,Office of the DAG,4,7,7,4
2010,DOJ,Office of the Assoc. AG,0,0,0,0
2010,DOJ,Antitrust,2,0,2,0
2010,DOJ,ATF,0,0,0,0
2010,DOJ,BOP,0,0,0,0
2010,DOJ,Civil,1,10,11,0
2010,DOJ,Civil Rights,0,0,0,0
2010,DOJ,COPS,0,0,0,0
2010,DOJ,Criminal,7,12,18,1
2010,DOJ,CRS,0,0,0,0
2010,DOJ,DEA,20,57,50,27
2010,DOJ,ENRD,0,1,1,0
2010,DOJ,EOIR,0,0,0,0
2010,DOJ,EOUSA,9,34,35,8
2010,DOJ,EOUST,0,0,0,0
2010,DOJ,FBI,233,1355,1395,193
2010,DOJ,FCSC,0,1,0,1
2010,DOJ,JMD,1,4,3,2
2010,DOJ,NDIC,0,1,1,0
2010,DOJ,NSD,8,10,18,0
2010,DOJ,OCDETF,0,0,0,0
2010,DOJ,ODR,0,0,0,0
2010,DOJ,OFDT,0,0,0,0
2010,DOJ,OIG,0,0,0,0
2010,DOJ,OIP,0,1,0,1
2010,DOJ,OIPL,0,0,0,0
2010,DOJ,OJP,0,3,3,0
2010,DOJ,OLA,2,2,3,1
2010,DOJ,OLC,0,8,8,0
2010,DOJ,OLP,1,0,1,0
2010,DOJ,OPR,0,1,1,0
2010,DOJ,OSG,0,6,6,0
2010,DOJ,OVW,0,0,0,0
2010,DOJ,Pardon Attorney,0,0,0,0
2010,DOJ,Public Affairs,0,3,0,3
2010,DOJ,PRAO,0,2,2,0
2010,DOJ,TAX,0,0,0,0
2010,DOJ,USMS,0,12,12,0
2010,DOJ,USNCB,0,0,0,0
2010,DOJ,USPC,0,0,0,0
2010,DOT,FAA,1,0,0,1
2010,DOT,FHWA,0,1,1,0
2010,DOT,FMCSA,0,0,0,0
2010,DOT,FRA,0,0,0,0
2010,DOT,FTA,0,0,0,0
2010,DOT,MARAD,0,0,0,0
2010,DOT,NHTSA,0,0,0,0
2010,DOT,OIG,0,0,0,0
2010,DOT,OST,0,4,4,0
2010,DOT,PHMSA,0,0,0,0
2010,DOT,RITA,0,0,0,0
2010,DOT,SLSDC,0,0,0,0
2010,EEOC,OLC/HDQ,0,0,0,0
2010,EPA,HQ,11,44,28,27
2010,Ex-Im Bank,HQ,0,0,0,0
2010,FCA,FCA,0,0,0,0
2010,FCC,FCC,0,3,3,0
2010,FCSIC,FCSIC,0,0,0,0
2010,FDIC,FDIC,1,13,14,0
2010,FEC,FEC,0,0,0,0
2010,FERC,FERC,0,1,1,0
2010,FFIEC,FFIEC,0,0,0,0
2010,FHFA,FHFA,0,1,1,0
2010,FLRA,FLRA,0,0,0,0
2010,FMC,FMC,0,0,0,0
2010,FMCS,FMCS,0,1,1,0
2010,FMSHRC,FMSHRC,0,0,0,0
2010,FRB,FRB,0,2,2,0
2010,FTC,FTC,0,0,0,0
2010,GSA,GSA,0,0,0,0
2010,HHS,ACF,0,1,1,0
2010,HHS,CMS,0,0,0,0
2010,HHS,OIG,0,0,0,0
2010,HHS,AHRQ,0,0,0,0
2010,HHS,CDC,0,0,0,0
2010,HHS,FDA,0,13,13,0
2010,HHS,HRSA,0,0,0,0
2010,HHS,IHS,0,0,0,0
2010,HHS,NIH,1,1,2,0
2010,HHS,SAMHSA,0,0,0,0
2010,HHS,OS,0,0,0,0
2010,HHS,OPHS/PSC,0,3,3,0
2010,HUD,HQ,0,0,0,0
2010,HUD,OIG,0,0,0,0
2010,HUD,R01,0,0,0,0
2010,HUD,R02,0,0,0,0
2010,HUD,R03,0,0,0,0
2010,HUD,R04,0,0,0,0
2010,HUD,R05,0,0,0,0
2010,HUD,R06,0,0,0,0
2010,HUD,R07,0,0,0,0
2010,HUD,R08,0,0,0,0
2010,HUD,R09,0,0,0,0
2010,HUD,R0X,0,0,0,0
2010,IAF,IAF,0,0,0,0
2010,IMLS,IMLS,0,2,2,0
2010,LSC,LSC,0,0,0,0
2010,MCC,MCC,0,0,0,0
2010,MSPB,OCB,0,0,0,0
2010,NARA,NARA,0,0,0,0
2010,NASA,ARC,0,0,0,0
2010,NASA,DFRC,0,0,0,0
2010,NASA,GRC,0,0,0,0
2010,NASA,GSFC,0,0,0,0
2010,NASA,HQ,0,0,0,0
2010,NASA,JPL,0,0,0,0
2010,NASA,JSC,0,0,0,0
2010,NASA,KSC,0,0,0,0
2010,NASA,LaRC,0,0,0,0
2010,NASA,MSFC,0,0,0,0
2010,NASA,NSSC,0,0,0,0
2010,NASA,OGC,0,0,0,0
2010,NASA,OIG,0,0,0,0
2010,NASA,SSC,0,0,0,0
2010,NCPC,NCPC,0,0,0,0
2010,NCUA,NCUA,0,0,0,0
2010,NEA,NEA,0,1,1,0
2010,NEH,NEH,0,2,2,0
2010,NIGC,NIGC,0,0,0,0
2010,NLRB,NLRB,1,3,4,0
2010,NMB,NMB,0,1,1,0
2010,NRPC,NRPC,0,0,0,0
2010,NSF,OGC,0,1,1,0
2010,NSF,OIG,0,0,0,0
2010,NTSB,HQ,0,0,0,0
2010,ODNI,ODNI,0,6,2,4
2010,OGE,OGE,0,0,0,0
2010,OMB,OMB,3,30,31,2
2010,ONDCP,OLC,0,0,0,0
2010,ONHIR,ONHIR,0,0,0,0
2010,OPM,OPM,1,1,2,0
2010,OSC,OSC,0,0,0,0
2010,OSHRC,OSHRC,0,0,0,0
2010,OSTP,OSTP,0,5,3,2
2010,PBGC,PBGC,0,0,0,0
2010,PC,FOIA Office,0,1,0,1
2010,SBA,SBA,0,0,0,0
2010,SEC,HQ,0,0,0,0
2010,SIGAR,SIGAR,0,1,0,1
2010,SIGIR,SIGIR,0,1,1,0
2010,SSA,SSA,0,0,0,0
2010,SSS,SSS,0,0,0,0
2010,State,DoS,4444,24673,13838,15279
2010,State,OIG,0,0,0,0
2010,STB,STB,0,0,0,0
2010,Treasury,BEP,0,1,1,0
2010,Treasury,BPD,0,0,0,0
2010,Treasury,DO,6,23,18,11
2010,Treasury,FinCEN,0,4,4,0
2010,Treasury,FMS,1,47,47,1
2010,Treasury,IRS,0,66,60,6
2010,Treasury,MINT,0,0,0,0
2010,Treasury,OCC,0,0,0,0
2010,Treasury,OTS,0,0,0,0
2010,Treasury,TIGTA,0,3,2,1
2010,Treasury,TTB,0,0,0,0
2010,TVA,TVA,0,2,2,0
2010,U.S. CPSC,U.S. CPSC,0,0,0,0
2010,U.S. DOL,ADJ BDS,0,0,0,0
2010,U.S. DOL,ALJ,0,0,0,0
2010,U.S. DOL,ASP,0,0,0,0
2010,U.S. DOL,BLS,0,0,0,0
2010,U.S. DOL,CFO,0,0,0,0
2010,U.S. DOL,EBSA,0,0,0,0
2010,U.S. DOL,ETA,1,2,3,0
2010,U.S. DOL,ILAB,0,0,0,0
2010,U.S. DOL,MSHA,0,0,0,0
2010,U.S. DOL,OASAM,0,0,0,0
2010,U.S. DOL,OCIA,0,0,0,0
2010,U.S. DOL,ODEP,0,0,0,0
2010,U.S. DOL,OFCCP,0,0,0,0
2010,U.S. DOL,OIG,0,0,0,0
2010,U.S. DOL,OLMS,8,52,58,2
2010,U.S. DOL,OPA,0,0,0,0
2010,U.S. DOL,OSHA,5,30,28,7
2010,U.S. DOL,OWCP,0,0,0,0
2010,U.S. DOL,SOL,0,0,0,0
2010,U.S. DOL,VETS,0,0,0,0
2010,U.S. DOL,WB,0,0,0,0
2010,U.S. DOL,WHD,2,4,6,0
2010,US ADF,US ADF,0,0,0,0
2010,US RRB,OIG,0,0,0,0
2010,US RRB,RRB,0,0,0,0
2010,USAID,USAID,1,6,6,1
2010,USCCR,USCCR,0,8,8,0
2010,USDA,AMS,0,0,0,0
2010,USDA,APHIS,0,0,0,0
2010,USDA,ASCR,0,0,0,0
2010,USDA,DM,0,1,1,0
2010,USDA,FAS,0,4,3,1
2010,USDA,FNCS,0,0,0,0
2010,USDA,FS,0,0,0,0
2010,USDA,FSA,2,27,28,1
2010,USDA,FSIS,0,0,0,0
2010,USDA,GIPSA,0,0,0,0
2010,USDA,NAD,0,0,0,0
2010,USDA,NRCS,0,0,0,0
2010,USDA,OBPA,0,0,0,0
2010,USDA,OCFO,0,0,0,0
2010,USDA,OGC,0,0,0,0
2010,USDA,OIG,0,1,1,0
2010,USDA,OSEC,1,4,5,0
2010,USDA,RD,0,0,0,0
2010,USDA,REE,0,0,0,0
2010,USDA,RMA,0,0,0,0
2010,USIBWC,USIBWC,0,0,0,0
2010,USITC,USITC,0,0,0,0
2010,USNRC,USNRC,0,6,6,0
2010,USPS,PS,0,9,9,0
2010,USPS,OIG,0,1,1,0
2010,USPS,PIS,0,10,10,0
2010,USTDA,USTDA,0,0,0,0
2010,USTR,USTR,2,3,4,1
2010,VA,Admin,0,0,0,0
2010,VA,BVA,0,0,0,0
2010,VA,C&LA,1,0,1,0
2010,VA,CFM,0,0,0,0
2010,VA,GC,0,0,0,0
2010,VA,HRM,0,0,0,0
2010,VA,IG,0,0,0,0
2010,VA,Mgmt,0,0,0,0
2010,VA,NCA,0,0,0,0
2010,VA,OAL,0,0,0,0
2010,VA,OASHRA,0,0,0,0
2010,VA,OASP&IA,0,0,0,0
2010,VA,ODASB,0,0,0,0
2010,VA,ODASIA,0,0,0,0
2010,VA,ODI,0,0,0,0
2010,VA,OF,0,0,0,0
2010,VA,OI&T,0,0,0,0
2010,VA,ORM,0,0,0,0
2010,VA,OSDBU,0,0,0,0
2010,VA,OSP,0,4,4,0
2010,VA,P&P,0,0,0,0
2010,VA,PA,0,0,0,0
2010,VA,SEC,0,0,0,0
2010,VA,VBA,2,2,4,0
2010,VA,VHA,1,6,6,1
2011,ABMC,ABMC,0,0,0,0
2011,ACUS,ACUS,0,0,0,0
2011,AFRH,AFRH,0,0,0,0
2011,BBG,BBG,0,0,0,0
2011,CEQ,CEQ,3,17,15,5
2011,CFTC,CFTC,0,0,0,0
2011,CIA,CIA,260,1147,1168,239
2011,CIGIE,CIGIE,0,0,0,0
2011,CNCS,CNCS,0,3,3,0
2011,CO,CO,0,0,0,0
2011,CPPBSD,CPPBSD,0,0,0,0
2011,CSB,CSB,0,0,0,0
2011,CSOSA,CSOSA,0,0,0,0
2011,DHS,CBP,4,27,30,1
2011,DHS,CRCL,0,0,0,0
2011,DHS,FEMA,16,11,27,0
2011,DHS,FLETC,0,1,1,0
2011,DHS,I&A,3,15,18,0
2011,DHS,ICE,0,93,93,0
2011,DHS,MGMT,1,6,7,0
2011,DHS,NPPD,0,0,0,0
2011,DHS,OGC,0,0,0,0
2011,DHS,OIG,0,16,16,0
2011,DHS,OPS,0,2,2,0
2011,DHS,PLCY,0,29,29,0
2011,DHS,PRIV,0,26,26,0
2011,DHS,S&T,0,10,10,0
2011,DHS,TSA,21,40,45,16
2011,DHS,US-VISIT,0,6,6,0
2011,DHS,USCG,13,25,24,14
2011,DHS,USCIS,3,60,63,0
2011,DHS,USSS,8,38,36,10
2011,DNFSB,OGC,0,0,0,0
2011,DNFSB,OGM,0,0,0,0
2011,DOC,BIS,0,7,7,0
2011,DOC,Census,0,2,2,0
2011,DOC,EDA,0,0,0,0
2011,DOC,ESA,0,0,0,0
2011,DOC,ITA,0,10,5,5
2011,DOC,MBDA,0,0,0,0
2011,DOC,NIST,0,3,3,0
2011,DOC,NOAA,0,9,7,2
2011,DOC,NTIA,0,1,1,0
2011,DOC,NTIS,0,0,0,0
2011,DOC,OIG,2,3,5,0
2011,DOC,OS,1,0,1,0
2011,DOC,PTO,0,0,0,0
2011,DoD,AF,52,151,140,63
2011,DoD,AFRICOM,0,24,5,19
2011,DoD,ARMY,88,335,367,56
2011,DoD,ASBCA,0,0,0,0
2011,DoD,CENTCOM,34,63,77,20
2011,DoD,DCAA,0,2,2,0
2011,DoD,DCMA,0,1,1,0
2011,DoD,DeCA,0,0,0,0
2011,DoD,DFAS,0,0,0,0
2011,DoD,DIA,328,200,302,226
2011,DoD,DISA,1,2,1,2
2011,DoD,DLA,1,4,5,0
2011,DoD,DoD IG,0,6,6,0
2011,DoD,DoDEA,0,0,0,0
2011,DoD,DSS,0,0,0,0
2011,DoD,DTIC,0,0,0,0
2011,DoD,DTRA,0,0,0,0
2011,DoD,EUCOM,1,2,2,1
2011,DoD,JFCOM,4,9,13,0
2011,DoD,NAVY,87,249,251,85
2011,DoD,NGA,39,22,46,15
2011,DoD,NGB,0,0,0,0
2011,DoD,NORTHCOM,0,5,5,0
2011,DoD,NRO,8,26,30,4
2011,DoD,NSA,55,298,231,122
2011,DoD,OSD/JS,372,245,236,381
2011,DoD,PACOM,2,10,6,6
2011,DoD,SOCOM,20,92,78,34
2011,DoD,SOUTHCOM,11,14,10,15
2011,DoD,STRATCOM,4,15,18,1
2011,DoD,TRANSCOM,12,4,15,1
2011,DoD,TRICARE,1,17,16,2
2011,DOE,BPA,0,0,0,0
2011,DOE,CBFO,0,0,0,0
2011,DOE,CH,0,1,1,0
2011,DOE,EMCBC,0,0,0,0
2011,DOE,GFO,0,0,0,0
2011,DOE,HQ,80,209,194,95
2011,DOE,ID,0,0,0,0
2011,DOE,NETL,0,0,0,0
2011,DOE,NNSA,0,0,0,0
2011,DOE,NR,0,0,0,0
2011,DOE,NRLFO,0,0,0,0
2011,DOE,ORO,0,72,72,0
2011,DOE,OSTI,0,0,0,0
2011,DOE,ROO,0,0,0,0
2011,DOE,SEPA,0,0,0,0
2011,DOE,SPR,0,0,0,0
2011,DOE,SRO,0,18,18,0
2011,DOE,SWPA,0,0,0,0
2011,DOE,WAPA,0,0,0,0
2011,DOI,BIA,0,0,0,0
2011,DOI,BLM,0,1,1,0
2011,DOI,BOEMRE,0,0,0,0
2011,DOI,BOR,0,0,0,0
2011,DOI,FWS,0,0,0,0
2011,DOI,NPS,0,0,0,0
2011,DOI,OIG,0,3,3,0
2011,DOI,OS,2,1,0,3
2011,DOI,OSM,0,0,0,0
2011,DOI,SOL,0,0,0,0
2011,DOI,USGS,0,0,0,0
2011,DOJ,Office of the AG,4,8,12,0
2011,DOJ,Office of the DAG,4,9,13,0
2011,DOJ,Office of the Assoc. AG,0,1,1,0
2011,DOJ,Antitrust,0,0,0,0
2011,DOJ,ATF,0,4,4,0
2011,DOJ,BOP,0,0,0,0
2011,DOJ,Civil,0,6,6,0
2011,DOJ,Civil Rights,1,4,3,2
2011,DOJ,COPS,0,0,0,0
2011,DOJ,Criminal,1,26,21,6
2011,DOJ,CRS,0,0,0,0
2011,DOJ,DEA,26,104,113,17
2011,DOJ,ENRD,0,2,2,0
2011,DOJ,EOIR,0,0,0,0
2011,DOJ,EOUSA,8,44,48,4
2011,DOJ,EOUST,0,1,1,0
2011,DOJ,FBI,6,103,90,19
2011,DOJ,FCSC,1,0,1,0
2011,DOJ,JMD,2,6,6,2
2011,DOJ,NDIC,0,0,0,0
2011,DOJ,NSD,0,14,14,0
2011,DOJ,OCDETF,0,0,0,0
2011,DOJ,ODR,0,0,0,0
2011,DOJ,OFDT,0,0,0,0
2011,DOJ,OIG,0,0,0,0
2011,DOJ,OIP,1,1,2,0
2011,DOJ,OIPL,0,0,0,0
2011,DOJ,OJP,0,7,7,0
2011,DOJ,OLA,1,5,6,0
2011,DOJ,OLC,0,1,1,0
2011,DOJ,OLP,0,2,2,0
2011,DOJ,OPR,0,0,0,0
2011,DOJ,OSG,0,1,1,0
2011,DOJ,OVW,0,0,0,0
2011,DOJ,Pardon Attorney,0,3,3,0
2011,DOJ,Public Affairs,3,6,9,0
2011,DOJ,PRAO,0,2,2,0
2011,DOJ,TAX,0,0,0,0
2011,DOJ,USMS,0,12,12,0
2011,DOJ,USNCB,0,5,3,2
2011,DOJ,USPC,0,2,2,0
2011,DOT,FAA,1,0,1,0
2011,DOT,FHWA,0,0,0,0
2011,DOT,FMCSA,0,0,0,0
2011,DOT,FRA,0,0,0,0
2011,DOT,FTA,0,0,0,0
2011,DOT,MARAD,0,0,0,0
2011,DOT,NHTSA,0,0,0,0
2011,DOT,OIG,0,7,5,2
2011,DOT,OST,0,6,6,0
2011,DOT,PHMSA,0,1,1,0
2011,DOT,RITA,0,0,0,0
2011,DOT,SLSDC,0,0,0,0
2011,ED,OM-PIRMS,0,0,0,0
2011,EEOC,OLC/HDQ,0,0,0,0
2011,EPA,HQ,27,48,60,15
2011,EPA,Region 1,0,0,0,0
2011,EPA,Region 2,0,0,0,0
2011,EPA,Region 3,0,0,0,0
2011,EPA,Region 4,0,0,0,0
2011,EPA,Region 5,0,0,0,0
2011,EPA,Region 6,0,0,0,0
2011,EPA,Region 7,0,0,0,0
2011,EPA,Region 8,0,0,0,0
2011,EPA,Region 9,0,0,0,0
2011,EPA,Region 10,0,0,0,0
2011,Ex-Im Bank,HQ,0,0,0,0
2011,FCA,FCA,0,0,0,0
2011,FCC,FCC,0,2,2,0
2011,FCSIC,FCSIC,0,0,0,0
2011,FDIC,FDIC,0,22,22,0
2011,FEC,FEC,0,1,1,0
2011,FERC,FERC,0,1,1,0
2011,FFIEC,FFIEC,0,0,0,0
2011,FHFA,FHFA FOIA,0,1,1,0
2011,FHFA,FHFA-OIG,0,0,0,0
2011,FLRA,FSIP,0,0,0,0
2011,FLRA,Authority,0,0,0,0
2011,FLRA,IG,0,0,0,0
2011,FLRA,OGC,0,0,0,0
2011,FLRA,ATRO,0,0,0,0
2011,FLRA,BORO,0,0,0,0
2011,FLRA,CHRO,0,0,0,0
2011,FLRA,DARO,0,0,0,0
2011,FLRA,DERO,0,0,0,0
2011,FLRA,SFRO,0,0,0,0
2011,FLRA,WARO,0,0,0,0
2011,FMC,FMC,0,0,0,0
2011,FMCS,FMCS,0,0,0,0
2011,FMSHRC,FMSHRC,0,0,0,0
2011,FOMC,FOMC,0,0,0,0
2011,FRB,FRB,0,0,0,0
2011,FRTIB,FRTIB,0,0,0,0
2011,FTC,FTC,0,1,1,0
2011,GSA,GSA,0,0,0,0
2011,HHS,ACF,0,0,0,0
2011,HHS,AOA,0,0,0,0
2011,HHS,CMS,0,0,0,0
2011,HHS,OIG,0,0,0,0
2011,HHS,AHRQ,0,0,0,0
2011,HHS,CDC,0,0,0,0
2011,HHS,FDA,0,12,12,0
2011,HHS,HRSA,0,0,0,0
2011,HHS,IHS,0,0,0,0
2011,HHS,NIH,0,4,4,0
2011,HHS,SAMHSA,0,0,0,0
2011,HHS,OS,0,0,0,0
2011,HHS,OASH,0,4,4,0
2011,HUD,HQ,0,0,0,0
2011,HUD,OIG,0,0,0,0
2011,HUD,R01,0,0,0,0
2011,HUD,R02,0,0,0,0
2011,HUD,R03,0,0,0,0
2011,HUD,R04,0,0,0,0
2011,HUD,R05,0,0,0,0
2011,HUD,R06,0,0,0,0
2011,HUD,R07,0,0,0,0
2011,HUD,R08,0,0,0,0
2011,HUD,R09,0,0,0,0
2011,HUD,R0X,0,0,0,0
2011,IAF,IAF,0,0,0,0
2011,IMLS,IMLS,0,1,1,0
2011,LSC,LSC,0,0,0,0
2011,MCC,MCC,0,0,0,0
2011,MSPB,MSPB,0,0,0,0
2011,NARA,NARA,0,0,0,0
2011,NASA,ARC,0,0,0,0
2011,NASA,DFRC,0,0,0,0
2011,NASA,GRC,0,0,0,0
2011,NASA,GSFC,0,0,0,0
2011,NASA,HQ,0,0,0,0
2011,NASA,JPL,0,0,0,0
2011,NASA,JSC,0,0,0,0
2011,NASA,KSC,0,0,0,0
2011,NASA,LaRC,0,0,0,0
2011,NASA,MSFC,0,0,0,0
2011,NASA,NSSC,0,0,0,0
2011,NASA,OGC,0,0,0,0
2011,NASA,OIG,0,0,0,0
2011,NASA,SSC,0,0,0,0
2011,NCPC,NCPC,0,0,0,0
2011,NCUA,NCUA,0,0,0,0
2011,NEA,NEA,0,0,0,0
2011,NEH,NEH,0,1,1,0
2011,NIGC,NIGC,0,0,0,0
2011,NLRB,NLRB,0,0,0,0
2011,NMB,NMB,0,0,0,0
2011,NRPC,NRPC,0,0,0,0
2011,NSF,OGC,1,1,1,1
2011,NSF,OIG,0,0,0,0
2011,NTSB,NTSB,0,0,0,0
2011,ODNI,ODNI,4,14,18,0
2011,OGE,OGE,0,2,2,0
2011,OMB,OMB,2,21,19,4
2011,ONDCP,ONDCP,0,0,0,0
2011,ONHIR,ONHIR,0,0,0,0
2011,OPIC,OPIC,0,1,1,0
2011,OPM,OPM,0,4,4,0
2011,OSC,OSC,0,1,1,0
2011,OSHRC,OSHRC,0,0,0,0
2011,OSTP,OSTP,0,8,8,0
2011,PBGC,PBGC,0,1,1,0
2011,PC,FOIA Office,1,1,1,1
2011,PC,OIG,0,0,0,0
2011,PRC,PRC,0,0,0,0
2011,RATB,RATB,0,0,0,0
2011,SBA,SBA,0,0,0,0
2011,SEC,SEC,0,5,4,1
2011,SIGAR,SIGAR,1,0,1,0
2011,SIGIR,SIGIR,0,0,0,0
2011,SSA,SSA,0,0,0,0
2011,SSS,SSS,0,0,0,0
2011,State,DoS,15293,7535,20961,1867
2011,State,OIG,0,0,0,0
2011,STB,STB,0,0,0,0
2011,Treasury,BEP,0,1,1,0
2011,Treasury,BPD,0,0,0,0
2011,Treasury,CFPB,0,0,0,0
2011,Treasury,DO,11,42,34,19
2011,Treasury,FinCEN,0,8,8,0
2011,Treasury,FMS,1,45,44,2
2011,Treasury,IRS,6,196,193,9
2011,Treasury,MINT,0,0,0,0
2011,Treasury,OCC,0,0,0,0
2011,Treasury,OTS,0,0,0,0
2011,Treasury,TIGTA,1,0,1,0
2011,Treasury,TTB,0,4,4,0
2011,TVA,TVA,0,2,2,0
2011,U.S. CPSC,U.S. CPSC,0,0,0,0
2011,U.S. DOL,ADJ BDS,0,2,1,1
2011,U.S. DOL,ALJ,0,1,1,0
2011,U.S. DOL,ASP,0,4,3,1
2011,U.S. DOL,BLS,0,1,1,0
2011,U.S. DOL,CFO,0,1,1,0
2011,U.S. DOL,EBSA,1,7,8,0
2011,U.S. DOL,ETA,1,11,12,0
2011,U.S. DOL,EXEC SEC,0,1,1,0
2011,U.S. DOL,ILAB,0,1,1,0
2011,U.S. DOL,MSHA,1,2,2,1
2011,U.S. DOL,OASAM,0,0,0,0
2011,U.S. DOL,OCIA,0,1,1,0
2011,U.S. DOL,ODEP,0,0,0,0
2011,U.S. DOL,OFCCP,1,8,9,0
2011,U.S. DOL,OIG,0,0,0,0
2011,U.S. DOL,OLMS,4,9,13,0
2011,U.S. DOL,OPA,0,0,0,0
2011,U.S. DOL,OSEC,1,1,2,0
2011,U.S. DOL,OSHA,15,59,72,2
2011,U.S. DOL,OWCP,0,8,8,0
2011,U.S. DOL,SOL,0,3,3,0
2011,U.S. DOL,VETS,0,4,4,0
2011,U.S. DOL,WB,0,2,2,0
2011,U.S. DOL,WHD,1,6,6,1
2011,US ADF,US ADF,0,0,0,0
2011,US RRB,OIG,0,0,0,0
2011,US RRB,RRB,0,0,0,0
2011,USAID,USAID,0,5,1,4
2011,USCCR,USCCR,0,0,0,0
2011,USDA,AMS,0,0,0,0
2011,USDA,APHIS,0,0,0,0
2011,USDA,ASCR,0,0,0,0
2011,USDA,DM,0,3,3,0
2011,USDA,FAS,1,19,20,0
2011,USDA,FNCS,0,0,0,0
2011,USDA,FS,0,5,4,1
2011,USDA,FSA,1,32,32,1
2011,USDA,FSIS,0,0,0,0
2011,USDA,GIPSA,2,1,2,1
2011,USDA,NAD,0,0,0,0
2011,USDA,NRCS,0,0,0,0
2011,USDA,OBPA,0,4,4,0
2011,USDA,OCFO,0,0,0,0
2011,USDA,OGC,0,0,0,0
2011,USDA,OIG,0,1,1,0
2011,USDA,OSEC/OCIO,0,5,5,0
2011,USDA,RD,0,0,0,0
2011,USDA,REE,1,3,4,0
2011,USDA,RMA,0,0,0,0
2011,USIBWC,USIBWC,0,0,0,0
2011,USITC,USITC,0,0,0,0
2011,USNRC,USNRC,0,12,12,0
2011,USPS,PS,0,3,3,0
2011,USPS,OIG,0,0,0,0
2011,USPS,PIS,0,7,7,0
2011,USTDA,USTDA,0,0,0,0
2011,USTR,USTR,1,11,4,8
2011,VA,Admin,0,0,0,0
2011,VA,BVA,0,0,0,0
2011,VA,C&LA,0,0,0,0
2011,VA,CFM,0,0,0,0
2011,VA,GC,0,0,0,0
2011,VA,HRM,0,0,0,0
2011,VA,IG,0,0,0,0
2011,VA,Mgmt,0,0,0,0
2011,VA,NCA,0,0,0,0
2011,VA,OAL,0,0,0,0
2011,VA,OASHRA,0,0,0,0
2011,VA,OASP&IA,0,0,0,0
2011,VA,ODASB,0,0,0,0
2011,VA,ODASIA,0,0,0,0
2011,VA,ODI,0,0,0,0
2011,VA,OF,0,0,0,0
2011,VA,OIT,0,0,0,0
2011,VA,ORM,0,0,0,0
2011,VA,OSDBU,0,0,0,0
2011,VA,OSP,0,3,3,0
2011,VA,P&P,0,0,0,0
2011,VA,PA,0,0,0,0
2011,VA,SEC,0,0,0,0
2011,VA,VBA,0,0,0,0
2011,VA,VHA,1,3,3,1
2012,ABMC,ABMC,0,0,0,0
2012,ACUS,ACUS,0,0,0,0
2012,AFRH,AFRH,0,0,0,0
2012,BBG,BBG,0,2,2,0
2012,CEQ,CEQ,5,10,13,2
2012,CFTC,CFTC,0,0,0,0
2012,CIA,CIA,239,1116,1007,348
2012,CIGIE,CIGIE,0,0,0,0
2012,CNCS,CNCS,0,0,0,0
2012,CO,CO,0,0,0,0
2012,CPPBSD,CPPBSD,0,0,0,0
2012,CSB,CSB,0,0,0,0
2012,CSOSA,CSOSA,0,0,0,0
2012,DHS,CBP,1,50,46,5
2012,DHS,CRCL,0,4,4,0
2012,DHS,FEMA,2,9,9,2
2012,DHS,FLETC,0,4,4,0
2012,DHS,I&A,1,24,22,3
2012,DHS,ICE,0,88,84,4
2012,DHS,MGMT,0,0,0,0
2012,DHS,NPPD,0,0,0,0
2012,DHS,OGC,0,1,1,0
2012,DHS,OIG,0,2,2,0
2012,DHS,OPS,0,5,5,0
2012,DHS,PLCY,0,13,13,0
2012,DHS,PRIV,0,24,21,3
2012,DHS,S&T,0,6,6,0
2012,DHS,TSA,16,16,22,10
2012,DHS,USCG,14,6,14,6
2012,DHS,USCIS,0,75,72,3
2012,DHS,USSS,9,11,11,9
2012,DNFSB,OGC,0,2,1,1
2012,DNFSB,OGM,0,1,1,0
2012,DOC,BIS,0,0,0,0
2012,DOC,Census,0,3,3,0
2012,DOC,EDA,0,0,0,0
2012,DOC,ESA,0,0,0,0
2012,DOC,ITA,5,12,15,2
2012,DOC,MBDA,0,0,0,0
2012,DOC,NIST,0,16,15,1
2012,DOC,NOAA,2,2,3,1
2012,DOC,NTIA,0,2,1,1
2012,DOC,NTIS,0,0,0,0
2012,DOC,OIG,0,0,0,0
2012,DOC,OS,0,5,5,0
2012,DOC,PTO,0,0,0,0
2012,DoD,AF,61,139,156,44
2012,DoD,AFRICOM,19,24,15,28
2012,DoD,ARMY,111,355,274,192
2012,DoD,ASBCA,0,0,0,0
2012,DoD,CENTCOM,20,80,78,22
2012,DoD,DCAA,0,2,2,0
2012,DoD,DCMA,0,6,6,0
