Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
ARMY,Date of Receipt,2007-11-06,2007-10-29,2007-10-29,2007-10-29,2007-10-29,2007-09-18,2007-08-27,2007-03-20,2006-09-21,2006-09-14
ARMY,Number of Days Pending,226,232,232,232,232,260,275,387,507,512
CENTCOM,Date of Receipt,,,,,,2008-08-22,2008-08-07,2008-07-30,2008-07-30,2008-07-30
CENTCOM,Number of Days Pending,,,,,,27,38,44,44,44
DIA,Date of Receipt,2003-03-12,2003-01-06,2002-12-10,2002-09-27,2002-09-13,2002-05-13,2002-02-06,2002-01-24,2001-12-17,2001-12-17
DIA,Number of Days Pending,1393,1438,1455,1504,1514,1600,1667,1676,1700,1700
DISA,Date of Receipt,,,,,,,,,,2008-05-20
DISA,Number of Days Pending,,,,,,,,,,93
NAVY,Date of Receipt,,,,,,,2008-08-08,2008-07-02,2008-06-27,2008-03-24
NAVY,Number of Days Pending,,,,,,,37,63,66,134
NGA,Date of Receipt,2006-09-14,2006-09-01,2006-08-28,2006-08-28,2006-08-15,2006-07-31,2006-07-12,2006-06-27,2006-04-25,2005-12-21
NGA,Number of Days Pending,512,520,524,524,533,544,557,567,611,696
NRO,Date of Receipt,,,,,,,,,2008-09-25,2008-08-13
NRO,Number of Days Pending,,,,,,,,,4,34
NSA,Date of Receipt,2007-03-27,2006-12-15,2006-06-22,2006-05-30,2006-05-26,2006-02-16,2003-05-22,2001-11-21,2001-07-27,1998-11-24
NSA,Number of Days Pending,382,449,570,587,588,658,1342,1717,1797,2468
OSD/JS,Date of Receipt,2008-07-28,2008-07-25,2008-07-16,2008-07-09,2008-07-09,2008-07-09,2008-07-08,2008-07-08,2008-07-03,2008-07-03
OSD/JS,Number of Days Pending,46,47,54,59,59,59,60,60,62,62
PACOM,Date of Receipt,,,,,,,2008-09-22,2008-09-22,2008-09-05,2008-07-01
PACOM,Number of Days Pending,,,,,,,7,7,18,64
SOCOM,Date of Receipt,2008-07-07,2008-06-30,2008-06-18,2008-01-07,2007-06-22,2007-06-20,2007-04-16,2007-02-12,2007-02-09,2006-11-03
SOCOM,Number of Days Pending,61,65,73,187,320,322,368,412,413,477
STRATCOM,Date of Receipt,2000-11-28,1999-12-01,1999-11-23,1997-06-23,1997-02-28,1997-01-31,1996-07-22,1995-06-30,1995-06-29,1994-12-29
STRATCOM,Number of Days Pending,1964,2213,2218,2824,2904,2923,3055,3320,3321,3447
TRICARE,Date of Receipt,1999-12-01,1999-11-23,1998-11-24,1997-06-23,1997-02-28,1997-01-31,1996-07-22,1995-06-30,1995-06-29,1994-12-29
TRICARE,Number of Days Pending,2213,2218,2468,2824,2904,2923,3055,3320,3321,3447
