Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
AMS,2,6,1,0,0,0,0,0,0,0,0,0,0,9,
APHIS,1,1,1,1,1,1,0,0,1,0,0,3,6,16,
ASCR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FNCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FSA,13,0,0,0,0,0,0,0,0,0,0,0,0,13,
FSIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GIPSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NRCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OBPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OSEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
REE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,16,7,2,1,1,1,0,0,1,0,0,3,6,38,
