Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
ACF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AHRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
IHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMHSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OS,0,0,10,21,13,11,0,0,5,3,0,0,0,0,
OPHS/PSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,0,0,10,21,13,11,0,0,5,3,0,0,0,0,
