Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicated within 10 Calendar Days,
Admin,0,0,0,0,0,
BVA,0,0,0,0,0,
C&LA,0,0,0,0,0,
CFM,0,0,0,0,0,
GC,0,0,0,0,0,
HRM,0,1,1,1,1,
IG,0,0,0,0,0,
Mgmt,0,0,0,0,0,
NCA,0,0,0,0,0,
OAL,0,2,1,1,2,
OASHRA,0,0,0,0,0,
OASP&IA,0,0,0,0,0,
ODASB,0,0,0,0,0,
ODASIA,0,0,0,0,0,
ODI,0,0,0,0,0,
OF,0,0,0,0,0,
OI&T,0,2,4.5,4.5,2,
ORM,0,0,0,0,0,
OSDBU,0,0,0,0,0,
OSP,0,0,0,0,0,
P&P,0,0,0,0,0,
PA,0,0,0,0,0,
SEC,0,0,0,0,0,
VBA,5,0,1,9,3,
VHA,22,35,1,5.1,48,
Total,27,40,N/A,N/A,56,
