Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicated within 10 Calendar Days,
CBP,32,423,1,1.48,449,
CRCL,0,0,N/A,N/A,0,
FEMA,0,0,N/A,N/A,0,
FLETC,0,0,N/A,N/A,0,
I&A,0,2,2,2,2,
ICE,17,46,2,3.87,57,
NPPD,0,0,N/A,N/A,0,
OIG,4,14,8.5,8.66,15,
OPS,0,0,N/A,N/A,0,
PRIV,10,49,3,5.12,55,
S&T,0,1,7,7.33,0,
TSA,2,21,1,1.64,22,
USCG,0,0,N/A,N/A,0,
USCIS,31,821,5,5.74,759,
USSS,0,7,1,1,7,
Total,96,1384,N/A,N/A,1366,
