Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicated within 10 Calendar Days,
BPA,0,9,0,0.11,9,
CBFO,0,0,0,0,0,
CH,0,1,0,0,1,
EMCBC,0,4,15,17.75,2,
GFO,0,0,0,0,0,
HQ,2,29,1,6.03,26,
ID,0,0,0,0,0,
NETL,0,0,0,0,0,
NNSA,2,3,1,7,3,
NR,0,0,0,0,0,
NRLFO,0,0,0,0,0,
ORO,4,0,0,2.5,4,
OSTI,0,0,0,0,0,
ROO,0,4,0,0,4,
SEPA,0,0,0,0,0,
SPR,0,0,0,0,0,
SRO,0,1,56,56,0,
SWPA,0,0,0,0,0,
WAPA,0,0,0,0,0,
Total,8,51,N/A,N/A,49,
