Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicated within 10 Calendar Days,
ADJ BDS,1,3,2,2,4,
ALJ,0,4,1,1,1,
ASP,0,0,0,0,0,
BLS,1,0,2,2,1,
CFO,0,2,1,1,2,
EBSA,3,0,1,1,3,
ESA,12,55,5,5,7,
ETA,1,77,0,0,0,
ILAB,0,2,1,1,2,
JOB CORP,0,0,0,0,0,
MSHA,3,14,4,5.3,17,
OASAM,2,0,20,20,0,
OCIA,0,0,0,0,0,
ODEP,0,0,0,0,0,
OIG,1,0,1,1,2,
OPA,0,0,0,0,0,
OSBP,0,1,1,1,1,
OSHA,97,0,7,5,92,
SOL,0,0,0,0,0,
VETS,1,2,1,1,3,
WB,0,1,1,1,1,
Total,122,161,N/A,N/A,136,
