Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicated within 10 Calendar Days,
AF,34,0,16,0,0,
ARMY,113,416,6,11,85,
ASBCA,0,0,0,0,0,
CENTCOM,0,0,0,0,0,
DCAA,1,3,9,20,2,
DCMA,0,0,0,0,0,
DeCA,0,0,0,0,0,
DFAS,0,0,0,0,0,
DIA,0,6,1,2,6,
DISA,0,0,0,0,0,
DLA,0,0,0,0,0,
DoDEA,0,0,0,0,0,
DoDIG,0,0,0,0,0,
DSS,0,0,0,0,0,
DTIC,0,0,0,0,0,
DTRA,0,0,0,0,0,
EUCOM,0,0,0,0,0,
JFCOM,0,0,0,0,0,
NAVY,24,24,2,6,4,
NGA,0,0,0,0,0,
NORTHCOM,0,3,3,5,3,
NRO,0,0,0,0,0,
NSA,16,8,0,8,19,
OSD/JS,2,96,0,0,98,
PACOM,0,2,10,10,2,
SOCOM,0,2,14,14,1,
SOUTHCOM,0,0,0,0,0,
STRATCOM,2,0,5,17,1,
TRANSCOM,1,3,1,1,4,
TRICARE,0,0,0,0,0,
Total,193,563,N/A,N/A,225,
