Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicated within 10 Calendar Days,
ADJ BDS,1,1,77.5,77.5,0,
ALJ,4,1,17,23.6,1,
ASP,0,1,455,455,0,
BLS,0,1,32,32,0,
CFO,2,1,1,5,2,
EBSA,6,43,25,39.8,18,
ETA,3,12,2,8,14,
EXEC SEC,0,0,N/A,N/A,0,
ILAB,0,0,N/A,N/A,0,
MSHA,7,9,12.5,50.1,7,
OASAM,0,9,87,94.1,1,
OCIA,1,1,38,38,0,
ODEP,0,0,N/A,N/A,0,
OFCCP,0,5,4,6.6,4,
OIG,1,4,3,2,2,
OLMS,0,1,4,4,1,
OPA,0,1,774,774,0,
OSEC,0,3,58,107.3,0,
OSHA,52,106,7,26.9,96,
OWCP,0,6,19.5,740,1,
SOL,1,3,17.5,21.3,1,
VETS,0,1,511,511,0,
WB,0,0,N/A,N/A,0,
WHD,44,104,21.5,47.5,44,
Total,122,313,N/A,N/A,192,
