Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicated within 10 Calendar Days,
AMS,0,2,1,1,2,
APHIS,1,10,1,2.36,10,
ASCR,1,1,1,1,2,
FAS,1,0,1,1,1,
FNCS,4,5,1,1.44,8,
FS,6,15,3,4.05,18,
FSA,10,444,1,1.5,454,
FSIS,0,5,1,1,5,
GIPSA,0,0,0,0,0,
NAD,0,0,0,0,0,
NRCS,1,2,29,21,1,
OBPA,0,0,0,0,0,
OCFO,0,0,0,0,0,
OGC,0,0,0,0,0,
OIG,0,1,8,8,1,
OSEC/OCIO/DM,0,5,3,3.34,5,
RD,0,1,1,1,1,
REE,0,1,1,1,1,
RMA,0,0,0,0,0,
Total,24,492,N/A,N/A,509,
