Component,Description,No. of Times Used,Total
ADJ BDS,"Adjudicatory Boards (ARB, BRB, ECAB)",0,0
ALJ,Administrative Law Judges,0,0
ASP,Office of the Assistant Secretary for Policy,0,0
BLS,Bureau of Labor Statistics,0,0
CFO,Office of the Chief Financial Officer,0,0
EBSA,Employee Benefits Security Administration,2,2
ETA,Employment and Training Administration,1,2
ETA,Employment and Training Administration,1,2
EXEC SEC,Executive Secretariat,0,0
ILAB,Bureau of International Labor Affairs,0,0
MSHA,Mine Safety and Health Administration,0,0
OASAM,Office of the Assistant Secretary for Administration and Management,4,4
OCIA,Office of Congressional and Intergovernmental Affairs,0,0
ODEP,Office of Disability Employment Policy,0,0
OFCCP,Office of Federal Contractor Compliance Programs,1,1
OIG,Office of the Inspector General,0,0
OLMS,Office of Labor Management Standards,0,0
OPA,Office of Public Affairs,0,0
OSEC,Office of the Secretary,0,0
OSHA,Occupational Safety and Health Administration,1,5
OSHA,Occupational Safety and Health Administration,4,5
OWCP,Office of Workers Compensation Programs,36,36
SOL,Office of the Solicitor,1,1
VETS,Veterans' Employment and Training Service,2,2
WB,Women's Bureau,0,0
WHD,Wage and Hour Division,2,2
Total,0,55,62
