SERO Dealer,Permit,Dealer,Address,City,State,Zipcode,Effective Date,Expiration Date
550,SD,BRYANT PRODUCTS INC,PO BOX 357,BAYOU LA BATRE,AL,36509-0357,04/01/2016,03/31/2017
2759,SD,STEEL CITY SEAFOOD LLC,1301 PINSON ST,BIRMINGHAM,AL,35217-2518,02/01/2016,05/31/2017
2056,SD,AQUILA SEAFOOD INC,PO BOX 150,BON SECOUR,AL,36511-0150,04/01/2016,03/31/2017
2751,SD,NI-COLE LLC,27253 BOAT BASIN RD,ORANGE BEACH,AL,36561-3981,02/01/2017,01/31/2018
1217,SD,CAPTAIN JACKIES SEAFOOD INC,9675 DAUPHIN ISLAND PKWY,THEODORE,AL,36582-7231,12/01/2016,11/30/2017
1822,SD,DEER RIVER SEAFOOD LLC,7622 DEER RIVER RD,THEODORE,AL,36582-9317,05/20/2016,03/31/2017
2307,SD,GLOBAL QUALITY FOODS INC,3524 INVESTMENT BLVD,HAYWARD,CA,94545-3707,04/19/2016,03/31/2017
2616,SD,H & N GROUP INC,5580 S ALAMEDA ST,VERNON,CA,90058-3426,10/01/2016,09/30/2017
1200,SD,W E L D INC,PO BOX 1478,ANNA MARIA,FL,34216-1478,06/01/2016,05/31/2017
154,SD,WATER STREET SEAFOOD INC,PO BOX 121,APALACHICOLA,FL,32329-0121,01/01/2017,12/31/2017
134,SD,MISS BECKY SEAFOOD INC,4371 OCEAN ST,ATLANTIC BCH,FL,32233-2417,04/01/2016,03/31/2017
2784,SD,DG SEAFOOD LLC,3029 PINE AVE,BIG PINE KEY,FL,33043-6219,05/13/2016,06/30/2017
146,SD,SEAFOOD ATLANTIC INC,4065 TANGELO AVE,COCOA,FL,32926-2839,04/13/2016,03/31/2017
275,SD,A P BELL FISH CO INC,PO BOX 276,CORTEZ,FL,34215-0276,04/01/2016,03/31/2017
639,SD,CAPE CANAVERAL SHRIMP COMPANY INC,PO BOX 269,CPE CANAVERAL,FL,32920-0269,02/01/2017,01/31/2018
2690,SD,THE CRAB PLANT LLC,201 NW 5TH ST,CRYSTAL RIVER,FL,34428-4007,12/01/2016,11/30/2017
2650,SD,LOW KEY FISHERIES LLC,22500 OVERSEAS HWY,CUDJOE KEY,FL,33042-4257,01/26/2017,12/31/2017
2816,SD,TWO JERKS SEAFOOD LLC,122 SPRINGWOOD DR,DAYTONA BEACH,FL,32119-1402,09/01/2016,03/31/2017
1407,SD,SOUTH FLORIDA SEAFOOD INC,131 W HILLSBORO BLVD,DEERFIELD BCH,FL,33441-3431,10/01/2016,09/30/2017
2838,SD,GULFSTREAM SEAFOOD PRODUCTS LLC,118 SW 3RD ST,DELRAY BEACH,FL,33444-3513,01/11/2017,11/30/2017
2708,SD,CAPTAIN CLAY AND SONS SEAFOOD MARKET,308 NE 4TH ST,DELRAY BEACH,FL,33444-3831,10/26/2016,09/30/2017
313,SD,ARIEL SEAFOODS OF FLORIDA INC,PO BOX 5401,DESTIN,FL,32540-5401,05/01/2016,04/30/2017
95,SD,HARBOR DOCKS INC,538 HWY 98 E,DESTIN,FL,32541-2328,07/08/2016,06/30/2017
2677,SD,SEAFOOD OF SOUTH FLORIDA LLC,PO BOX 640,FORT MYERS,FL,33902-0640,05/04/2016,04/30/2017
2537,SD,SOUTH FLORIDA SEAFOOD DISTRIBUTION LLC,PO BOX 640,FORT MYERS,FL,33902-0640,05/04/2016,08/31/2017
39,SD,INLET FISHERIES INC,PO BOX 3604,FORT PIERCE,FL,34948-3604,11/01/2016,10/31/2017
2123,SD,Q PLUS FOOD LLC,PO BOX 24415,FT LAUDERDALE,FL,33307-4415,05/11/2016,04/30/2017
1091,SD,THE FISH PEDDLER EAST INC,2805 E COMMERCIAL BLVD,FT LAUDERDALE,FL,33308-4205,05/13/2016,04/30/2017
