SERO Dealer,Permit,Dealer,Address,City,State,Zipcode,Effective Date,Expiration Date
550,SD,BRYANT PRODUCTS INC,PO BOX 357,BAYOU LABATRE,AL,36509-0357,05/01/2013,03/31/2014
2056,SD,AQUILA SEAFOOD INC,PO BOX 150,BON SECOUR,AL,36511-0150,04/01/2013,03/31/2014
2423,SD,NICOLE SEAFOOD,27253 BOAT BASIN RD,ORANGE BEACH,AL,36561-3981,03/12/2013,01/31/2014
1217,SD,CAPTAIN JACKIES SEAFOOD INC,9675 DAUPHIN ISLAND PKWY,THEODORE,AL,36582-7231,12/01/2012,11/30/2013
2307,SD,GLOBAL QUALITY FOODS INC,3524 INVESTMENT BLVD,HAYWARD,CA,94545-3707,04/01/2013,03/31/2014
1464,SD,H & N FOODS INTERNATIONAL,5580 S ALAMEDA ST,VERNON,CA,90058-3426,04/01/2013,03/31/2014
2128,SD,SEA WELL SEAFOOD INC,3 LIBERTY ST,PAWCATUCK,CT,6379,01/01/2013,12/31/2013
1200,SD,W E L D INC,PO BOX 1478,ANNA MARIA,FL,34216-1478,06/01/2013,05/31/2014
154,SD,WATER STREET SEAFOOD INC,PO BOX 121,APALACHICOLA,FL,32320,01/01/2013,12/31/2013
134,SD,MISS BECKY SEAFOOD INC,4371 OCEAN ST,ATLANTIC BCH,FL,32233-2417,04/01/2013,03/31/2014
2127,SD,JOSEPH HOLT MORTON II,5730 BAY POINT RD,BOKEELIA,FL,33922-3331,09/20/2012,10/31/2013
146,SD,SEAFOOD ATLANTIC INC,4065 TANGELO AVE,COCOA,FL,32926-2839,04/03/2013,03/31/2014
1303,SD,WILLLIAM FRANCIS GODWIN III,735 ESCOBAR AVE,CORAL GABLES,FL,33134-7013,07/11/2013,05/31/2014
275,SD,A P BELL FISH CO INC,PO BOX 276,CORTEZ,FL,34215-0276,04/01/2013,01/31/2014
639,SD,CAPE CANAVERAL SHRIMP COMPANY INC,PO BOX 269,CPE CANAVERAL,FL,32920-0269,02/01/2013,01/31/2014
2332,SD,WEST ISLES SEAFOOD COMPANY,22500 US HWY 1,CUDJOE KEY,FL,33042,05/10/2013,02/28/2014
116,SD,A FISHERMANS BEST INC,PO BOX 606,DANIA BEACH,FL,33004-0606,05/01/2013,04/30/2014
