Component,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Request in Litigation,Appeal Based Solely on Denial for Expedited Processing,Other,
ADJ BDS,0,0,0,0,0,0,0,0,0,0,1,
EBSA,2,0,0,0,0,0,0,1,0,0,3,
ETA,12,0,1,0,0,0,0,2,0,0,3,
MSHA,0,0,7,0,0,0,0,0,0,0,0,
OASAM,0,0,2,0,0,0,0,0,0,0,3,
OFCCP,0,0,0,0,0,1,0,0,0,0,0,
OIG,0,0,1,0,0,0,0,0,0,0,0,
OSHA,1,0,8,0,0,5,0,4,0,0,3,
OWCP,1,0,1,0,0,40,0,2,0,0,76,
SOL,0,0,0,0,0,0,0,0,0,0,1,
VETS,0,0,2,0,0,0,0,0,0,0,0,
WHD,0,0,1,0,0,1,0,1,0,0,2,
Total,16,0,23,0,0,47,0,10,0,0,92,
