Component,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS PROCESSED,NUMBER OF APPEALS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
ADJ BDS,0,0,0,0,
ALJ,1,1,2,2,
ASP,0,0,0,0,
BLS,0,1,0,0,
CFO,0,0,0,0,
EBSA,13,7,10,6,
ETA,50,55,57,49,
ILAB,0,0,0,0,
MSHA,24,26,24,25,
OASAM,15,12,11,10,
OCIA,0,0,0,0,
ODEP,0,0,0,0,
OFCCP,6,12,8,10,
OIG,1,2,0,1,
OLMS,10,8,13,4,
OPA,0,0,0,0,
OSEC,0,0,0,0,
OSHA,120,129,162,109,
OWCP,54,115,55,98,
SOL,2,3,2,2,
VETS,7,1,9,1,
WB,0,0,0,0,
WHD,35,42,40,37,
Total,338,414,393,354,
