Component,Number of Backlogged Requests as of the End of Fiscal Year,Number of Backlogged Appeals as of End of Fiscal Year,
FSA,24,0,
IES,0,0,
IES-NAGB,0,0,
M,29,0,
OCFO,2,0,
OCFO-CAM,6,0,
OCIO,1,0,
OCO,1,0,
OCR,2,0,
OCR-1 Boston,17,0,
OCR-2 New York,27,0,
OCR-3 Philadelphia,1,0,
OCR-4 Atlanta,12,0,
OCR-5 Chicago,0,0,
OCR-6 Dallas,1,0,
OCR-7 Kansas City,8,0,
OCR-8 Denver,0,0,
OCR-9 San Francisco,0,0,
OCR-10 Seattle,0,0,
OCR-12 Cleveland,3,0,
OCR-Metro D.C.,12,0,
ODS,0,0,
OELA,0,0,
OESE,6,0,
OGC,0,0,
OIG,6,0,
OII,1,0,
OLCA,1,0,
OM,3,0,
OM-PIRMS,35,27,
OPE,14,0,
OPEPD,2,0,
OS,23,0,
OSDFS,0,0,
OSERS,1,0,
OUS,0,0,
OVAE,0,0,
Total,238,27,
