Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
BIA,976,358,45,178,8,29,26,34,8,3,5,38,1708
BLM,372,302,20,101,36,37,24,13,18,5,27,48,1003
BOEM,37,11,4,9,3,3,0,2,0,2,2,2,75
BOR,87,67,9,24,5,9,5,1,4,0,4,39,254
BSEE,59,32,4,22,2,6,8,0,5,5,4,4,151
FWS,613,171,24,77,24,22,5,7,2,1,22,292,1260
NPS,409,279,46,57,10,23,42,3,1,5,10,21,906
OIG,7,54,12,15,2,11,0,0,0,1,3,0,105
OS,146,129,4,66,59,7,19,22,6,12,6,41,517
OSM,32,14,0,7,0,11,3,2,0,1,0,1,71
SOL,22,9,4,20,1,3,1,2,1,3,4,0,70
USGS,103,19,1,28,2,1,3,1,0,4,0,3,165
Total,2863,1445,173,604,152,162,136,87,45,42,87,489,6285
