Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
FSA,9,24,21,12,10,5,8,3,2,5,5,2,1,107,
IES,0,3,1,0,1,0,0,0,0,1,1,0,0,7,
IES-NAGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M,7,12,11,12,9,5,4,5,8,2,14,7,8,104,
OCFO,1,1,0,1,0,0,0,0,0,1,2,0,0,6,
OCFO-CAM,0,1,3,5,6,3,2,6,0,0,7,0,1,34,
OCIO,0,1,1,1,0,0,0,0,0,0,0,0,0,3,
OCO,0,1,1,0,0,0,0,0,0,0,2,0,1,5,
OCR,4,6,6,6,2,1,0,0,2,0,1,0,0,28,
OCR-1 Boston,0,0,2,0,3,2,0,2,0,0,1,2,1,13,
OCR-2 New York,1,0,1,2,1,1,0,1,0,1,5,0,2,15,
OCR-3 Philadelphia,2,4,0,1,1,0,0,0,0,0,1,0,0,9,
OCR-4 Atlanta,3,1,0,1,1,0,0,0,0,0,0,0,0,6,
OCR-5 Chicago,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
OCR-6 Dallas,22,9,1,2,0,0,0,0,0,0,0,0,0,34,
OCR-7 Kansas City,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
OCR-8 Denver,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
OCR-9 San Francisco,20,2,0,0,0,0,0,0,0,0,0,0,0,22,
OCR-10 Seattle,47,1,1,0,0,0,0,0,0,0,0,0,0,49,
OCR-12 Cleveland,2,1,0,0,0,0,0,0,0,1,0,0,0,4,
OCR-Metro D.C.,1,4,9,1,3,2,1,2,1,0,5,1,0,30,
ODS,1,0,0,0,0,0,0,0,0,0,1,0,1,3,
OELA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
OESE,2,2,5,2,2,0,2,1,0,0,1,1,1,19,
OGC,1,0,2,1,0,0,0,0,1,0,1,1,2,9,
OIG,3,0,0,0,0,1,1,1,2,1,3,0,0,12,
OII,2,2,3,0,1,0,0,0,0,0,5,0,0,13,
OLCA,0,1,0,0,0,1,3,1,0,0,0,0,0,6,
OM,3,3,4,3,1,0,0,0,1,1,0,1,0,17,
OM-PIRMS,2,1,1,1,1,1,2,0,0,0,2,5,1,17,
OPE,5,6,4,5,2,1,1,2,0,0,3,1,0,30,
OPEPD,0,0,0,0,0,0,0,0,0,0,1,1,1,3,
OS,0,0,2,2,1,4,3,3,2,3,3,0,3,26,
OSDFS,0,0,0,0,0,0,2,0,0,0,0,0,0,2,
OSERS,5,12,0,0,0,0,1,1,0,0,2,0,0,21,
OUS,0,0,3,0,0,0,0,0,0,0,0,0,1,4,
OVAE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,147,98,82,58,45,27,30,28,19,16,68,22,24,664,
