Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicated within 10 Calendar Days,
CBP,5,2,1,27,6,
CRCL,1,0,1,1,1,
FEMA,1,1,8,8,2,
FLETC,0,0,N/A,N/A,N/A,
I&A,0,0,N/A,N/A,N/A,
ICE,7,98,1,2.75,101,
MGMT,2,0,1.5,1.5,2,
NPPD,1,0,8,8,1,
OGC,0,0,N/A,N/A,N/A,
OIG,1,14,3,4.73,15,
OPS,0,0,N/A,N/A,N/A,
PLCY,0,0,N/A,N/A,N/A,
PRIV,1,6,8,8.86,6,
S&T,0,0,N/A,N/A,N/A,
TSA,3,32,2,2.8,35,
USCG,0,0,N/A,N/A,N/A,
USCIS,33,901,5,6.77,786,
USSS,4,68,10,10.63,36,
Total,59,1122,N/A,N/A,991,
