Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
42 U.S.C. § 3789g,Data received by the Bureau of Justice Statistics and used only for statistical or research purposes,None,9,OJP,9
15 U.S.C. § 1314(g),"""Any documentary material, answers to written interrogatories, or transcripts of oral testimony"" provided pursuant to certain civil investigative demands pertaining to antitrust investigations","Motion Picture Ass'n of Am. v. DOJ, No. 80 Civ. 6612, slip op. at 1 (S.D.N.Y. Oct. 6, 1981)",4,Antitrust,4
31 U.S.C. § 3730,Records pertaining to financial false claims,None,1,EOUSA,1
15 U.S.C. § 18a(h),Information submitted in connection with the premerger notification provisions of the Hart-Scott-Rodino Antitrust Improvements Act of 1976,"Lieberman v. FTC, 771 F.2d 32, 39 n.14 (2d Cir. 1985) (dictum)",5,Antitrust,5
50 U.S.C. § 1806(b),Electronic surveillance information acquired pursuant to subchapter I of chapter 36 of title 50,None,1,FBI,1
5 U.S.C. app. § 107,Financial disclosure information pertaining to certain government employees,"Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009), renewed motion for summary judgment granted in part on other grounds, 699 F. Supp. 2d 106 (D.D.C. 2010)",53,EOUSA,53
18 U.S.C. §§ 2510-20,"Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS 22175 (D.C. Cir. Sept. 14, 2007) (per curiam); Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991); Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997)",5,EOUSA,131
18 U.S.C. §§ 2510-20,"Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS 22175 (D.C. Cir. Sept. 14, 2007) (per curiam); Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991); Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997)",84,DEA,131
18 U.S.C. §§ 2510-20,"Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS 22175 (D.C. Cir. Sept. 14, 2007) (per curiam); Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991); Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997)",4,Criminal,131
18 U.S.C. §§ 2510-20,"Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS 22175 (D.C. Cir. Sept. 14, 2007) (per curiam); Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991); Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997)",38,FBI,131
18 U.S.C. § 3123(d),"Certain court ""order[s] authorizing or approving the installation and use of a pen register or a trap and trace device""; information pertaining to ""the existence of the pen register or trap and trace device or the existence of the investigation""","Jennings v. FBI, No 03-1651, slip op. at 11-12 (D.D.C. May 6, 2004); Riley v. FBI, No. 00-2378, 2002 U.S. Dist. LEXIS 2632, at *5-6 (D.D.C. Feb. 11, 2002); Manna v. DOJ, 815 F. Supp. 798, 812 (D.N.J. 1993), aff'd on other grounds, 51 F.3d 1158 (3d Cir. 1995)",3,EOUSA,45
18 U.S.C. § 3123(d),"Certain court ""order[s] authorizing or approving the installation and use of a pen register or a trap and trace device""; information pertaining to ""the existence of the pen register or trap and trace device or the existence of the investigation""","Jennings v. FBI, No 03-1651, slip op. at 11-12 (D.D.C. May 6, 2004); Riley v. FBI, No. 00-2378, 2002 U.S. Dist. LEXIS 2632, at *5-6 (D.D.C. Feb. 11, 2002); Manna v. DOJ, 815 F. Supp. 798, 812 (D.N.J. 1993), aff'd on other grounds, 51 F.3d 1158 (3d Cir. 1995)",42,FBI,45
42 U.S.C. § 2000g-2(b),Community Relations Service confidentiality information  confidentiality information,None,4,CRS,4
"26 U.S.C. §§ 6103, 6105",Certain tax return information and certain tax convention information,"Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105)",1,DEA,40
"26 U.S.C. §§ 6103, 6105",Certain tax return information and certain tax convention information,"Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105)",12,ATF,40
"26 U.S.C. §§ 6103, 6105",Certain tax return information and certain tax convention information,"Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105)",1,Criminal,40
"26 U.S.C. §§ 6103, 6105",Certain tax return information and certain tax convention information,"Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105)",12,FBI,40
"26 U.S.C. §§ 6103, 6105",Certain tax return information and certain tax convention information,"Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105)",14,TAX,40
31 U.S.C. § 5319,Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports,"Hulstein v. DEA, No. 10-4112, 2011 U.S. Dist. LEXIS 25788, at *7-8 (N.D. Iowa Mar. 11, 2011); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff'd on other grounds, 288 F. App'x 829 (3d Cir. 2008), cert. denied, 129 S. Ct. 2789 (U.S. 2009); Sciba v. Bd. of Governors of the Fed. Reserve Sys., No. 04-1011, 2005 WL 3201206, at *6 (D.D.C. Nov. 4, 2005)",6,DEA,22
31 U.S.C. § 5319,Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports,"Hulstein v. DEA, No. 10-4112, 2011 U.S. Dist. LEXIS 25788, at *7-8 (N.D. Iowa Mar. 11, 2011); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff'd on other grounds, 288 F. App'x 829 (3d Cir. 2008), cert. denied, 129 S. Ct. 2789 (U.S. 2009); Sciba v. Bd. of Governors of the Fed. Reserve Sys., No. 04-1011, 2005 WL 3201206, at *6 (D.D.C. Nov. 4, 2005)",16,FBI,22
18 U.S.C. § 3521(b)(1)(g),"""[T]he identity or location of the person relocated or protected, or any other matter concerning the person or the program after weighing [various factors],"" subject to certain exceptions","Bonadonna v. DOJ, 791 F. Supp. 2d 269, 270 (D. Mass. 2010), aff'd, No. 10-1595, 2011 WL 4770189 (1st Cir. Jan. 7, 2011)",3,USMS,52
18 U.S.C. § 3521(b)(1)(g),"""[T]he identity or location of the person relocated or protected, or any other matter concerning the person or the program after weighing [various factors],"" subject to certain exceptions","Bonadonna v. DOJ, 791 F. Supp. 2d 269, 270 (D. Mass. 2010), aff'd, No. 10-1595, 2011 WL 4770189 (1st Cir. Jan. 7, 2011)",48,BOP,52
18 U.S.C. § 3521(b)(1)(g),"""[T]he identity or location of the person relocated or protected, or any other matter concerning the person or the program after weighing [various factors],"" subject to certain exceptions","Bonadonna v. DOJ, 791 F. Supp. 2d 269, 270 (D. Mass. 2010), aff'd, No. 10-1595, 2011 WL 4770189 (1st Cir. Jan. 7, 2011)",1,FBI,52
