Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
AF,Date of Receipt,2011-02-15,2010-12-15,2010-07-06,2010-06-17,2010-04-22,2009-07-14,2009-03-25,2008-12-18,2008-12-18,2008-08-01
AF,Number of Days Pending,410,451,563,575,614,808,885,949,949,1045
AFRICOM,Date of Receipt,2011-11-29,2011-01-19,2011-01-19,2011-01-19,2011-01-19,2011-01-19,2011-01-19,2011-01-19,2011-01-19,2011-01-19
AFRICOM,Number of Days Pending,212,429,429,429,429,429,429,429,429,429
ARMY,Date of Receipt,2012-09-07,2012-09-06,2012-09-05,2012-08-27,2012-08-20,2012-07-19,2012-07-11,2012-07-10,2012-07-06,2012-07-06
ARMY,Number of Days Pending,15,16,17,23,28,50,56,57,59,59
CENTCOM,Date of Receipt,2012-06-06,2012-05-30,2012-05-23,2012-05-22,2012-05-16,2012-04-12,2012-03-21,2012-02-13,2011-12-12,2011-09-14
CENTCOM,Number of Days Pending,80,85,89,90,94,118,134,160,203,263
DIA,Date of Receipt,2005-12-30,2005-11-18,2005-11-17,2005-09-19,2005-06-16,2005-06-16,2005-04-13,2005-03-30,2004-12-30,2002-05-13
DIA,Number of Days Pending,1693,1721,1722,1763,1828,1828,1873,1883,1944,2603
DISA,Date of Receipt,,,,,,,2012-09-18,2012-07-12,2012-05-03,2012-03-06
DISA,Number of Days Pending,,,,,,,8,55,103,145
DLA,Date of Receipt,,,,,,,,2012-09-13,2012-09-13,2012-06-20
DLA,Number of Days Pending,,,,,,,,11,11,70
DoD IG,Date of Receipt,,,,,,,,,,2012-04-03
DoD IG,Number of Days Pending,,,,,,,,,,125
EUCOM,Date of Receipt,,,,,,,,,,2002-04-11
EUCOM,Number of Days Pending,,,,,,,,,,2625
NAVY,Date of Receipt,2011-09-01,2011-08-19,2011-06-24,2011-05-05,2011-02-09,2011-01-01,2010-12-15,2010-10-04,2009-11-09,2008-11-13
NAVY,Number of Days Pending,271,280,319,354,414,440,451,500,726,974
NGA,Date of Receipt,2012-04-25,2012-03-30,2011-12-29,2011-12-29,2011-12-28,2011-12-09,2011-09-20,2011-07-14,2010-10-05,2009-09-14
NGA,Number of Days Pending,109,127,190,190,191,204,259,306,499,765
NORTHCOM,Date of Receipt,,,,,,,,,2012-06-27,2012-03-20
NORTHCOM,Number of Days Pending,,,,,,,,,65,135
NRO,Date of Receipt,,,,,,,,,,2012-06-14
NRO,Number of Days Pending,,,,,,,,,,74
NSA,Date of Receipt,2010-09-09,2010-09-07,2010-08-05,2010-05-11,2010-05-05,2010-04-28,2010-04-28,2009-11-20,2009-07-28,2008-09-12
NSA,Number of Days Pending,517,519,541,601,605,610,610,718,798,1016
OSD/JS,Date of Receipt,2004-02-25,2004-01-22,2003-10-21,2003-02-14,2002-10-09,2002-10-03,2002-08-30,2002-07-16,2002-04-16,2001-01-08
OSD/JS,Number of Days Pending,2157,2180,2241,2413,2499,2503,2526,2559,2622,2940
PACOM,Date of Receipt,,,,,,2012-09-07,2012-01-03,2009-08-27,2009-08-03,2009-01-20
PACOM,Number of Days Pending,,,,,,15,188,776,794,929
SOCOM,Date of Receipt,2011-05-03,2011-04-05,2011-01-04,2010-11-23,2010-10-06,2010-09-13,2009-06-15,2009-06-03,2007-12-06,2007-06-20
SOCOM,Number of Days Pending,356,376,439,466,498,515,828,836,1209,1325
SOUTHCOM,Date of Receipt,2011-11-10,2011-11-02,2011-10-19,2011-07-14,2011-06-30,2011-04-28,2011-01-04,2010-06-30,2010-03-03,2010-01-04
SOUTHCOM,Number of Days Pending,223,229,239,306,315,359,439,566,650,690
STRATCOM,Date of Receipt,,2012-09-13,2012-08-22,2012-07-30,2012-07-18,2012-07-18,2012-07-11,2012-05-25,2012-03-06,2009-02-17
STRATCOM,Number of Days Pending,,11,26,43,51,51,56,87,145,910
