Component,Description,No. of Times Used,Total
CBP,United States Customs and Border Protection,18,19
CBP,United States Customs and Border Protection,1,19
FLETC,Federal Law Enforcement Training Center,0,0
ICE,Immigration and Customs Enforcement,7,7
OGC,Office of the General Counsel,3,23
OGC,Office of the General Counsel,4,23
OGC,Office of the General Counsel,1,23
OGC,Office of the General Counsel,2,23
OGC,Office of the General Counsel,13,23
OIG,Office of the Inspector General,2,5
OIG,Office of the Inspector General,3,5
TSA,Transportation Security Administration,2,3
TSA,Transportation Security Administration,1,3
USCG,United States Coast Guard,0,0
USCIS,United States Citizenship and Immigration Services,0,0
USSS,United States Secret Service,0,0
Total,0,57,176
