Component,Description,No. of Times Used,Total
OIG,N/A,0,0
DoS,Cases closed and went directly to litigation,9,9
OIG,Transferred within DOT,6,6
OIG,Verification of Identity Not Provided,6,6
OIG,Records Publicly Available,1,4
OIG,Coordinated by another processing office,1,4
OIG,Unable to locate requester,2,4
OIG,N/A,0,0
OIG,Records referred not related or indexed to the requester,3,3
OIG,N/A,0,0
OIG,Available on the Internet,5,11
OIG,Administrative Closures - based on Response and Non response to continued interested calls and correspondence,6,11
OIG,No Authorization to Release Records.,1,10
OIG,Glomar Response.,9,10
OIG,Referral page(s),167,167
OIG,N/A,0,0
Total,0,216,245
