Component,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS PROCESSED,NUMBER OF APPEALS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
FAA,106,110,128,128,
FHWA,8,8,9,9,
FMCSA,7,2,6,5,
FRA,2,2,2,2,
FTA,7,8,2,12,
MARAD,1,1,4,0,
NHTSA,11,6,10,7,
OIG,4,2,4,0,
OST,5,7,4,9,
PHMSA,2,0,2,0,
RITA,0,1,1,1,
SLSDC,0,0,0,0,
Total,153,147,172,173,
