Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
ACF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
CMS,0,2,3,1,2,1,2,1,1,1,1,2,0,17,
OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AHRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FDA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
IHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMHSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ACL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,1,3,3,1,2,1,2,1,1,1,1,2,0,19,
